model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,0.8752527428292562,0.6874505105762865,,
GP-CP,0.880900234364831,0.693539505194178,,
GP-CP-Extended,0.24228069614020847,0.19567034727434685,0.1641787886309262,0.1316810361895216
