model,effect_type,metric,value
FE+AR,alpha,Bias,-9.159339953157541e-17
FE+AR,alpha,RMSE,0.02924082746426767
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,0.44647785130258927
FE+AR,beta,Bias,-7.563394355258879e-17
FE+AR,beta,RMSE,0.06931399331462822
FE+AR,beta,Coverage,1.0
FE+AR,beta,CI_Width,0.786772415114698
FE+AR,gamma,Bias,1.96139401017111e-17
FE+AR,gamma,RMSE,0.830846436865696
FE+AR,gamma,Coverage,0.0
FE+AR,gamma,CI_Width,
GP-CP,alpha,Bias,-1.4710455076283324e-16
GP-CP,alpha,RMSE,0.03939972874629116
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.32867972667895273
GP-CP,beta,Bias,-6.38378239159465e-17
GP-CP,beta,RMSE,0.09436024279970574
GP-CP,beta,Coverage,1.0
GP-CP,beta,CI_Width,0.5086072785077713
GP-CP,gamma,Bias,1.96139401017111e-17
GP-CP,gamma,RMSE,0.830846436865696
GP-CP,gamma,Coverage,0.0
GP-CP,gamma,CI_Width,
GP-CP-Extended,alpha,Bias,-1.637578961322106e-16
GP-CP-Extended,alpha,RMSE,0.022884778105528105
GP-CP-Extended,alpha,Coverage,1.0
GP-CP-Extended,alpha,CI_Width,0.1279418515437265
GP-CP-Extended,beta,Bias,-8.025987282186027e-17
GP-CP-Extended,beta,RMSE,0.05185212598166729
GP-CP-Extended,beta,Coverage,0.95
GP-CP-Extended,beta,CI_Width,0.20542567985770116
GP-CP-Extended,gamma,Bias,3.1410059738353385e-17
GP-CP-Extended,gamma,RMSE,0.1641787886309262
GP-CP-Extended,gamma,Coverage,0.9683333333333334
GP-CP-Extended,gamma,CI_Width,0.6962386147039026
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
