model,period,mean,lo95,hi95,truth
FE+AR,45,-1.017958702076616,-1.7603599810184838,-0.2755574231347484,-1.2836386799974253
FE+AR,46,-0.9125878077175318,-1.9007546340002524,0.07557901856518878,-1.102696514074689
FE+AR,47,-0.8200249395808601,-1.9622491912623827,0.32219931210066255,-0.4691553471757304
FE+AR,48,-0.7387132584966213,-1.9868882051067982,0.5094616881135557,0.39449897791210015
FE+AR,49,-0.6672851619624607,-1.9914368058433622,0.6568664819184409,0.977848372689508
FE+AR,50,-0.6045392820782689,-1.9844634033023398,0.775384839145802,1.1696161600777184
FE+AR,51,-0.5494202794242008,-1.970887348156892,0.8720467893084903,1.1577239316235435
FE+AR,52,-0.5010010930300264,-1.953713800700205,0.9517116146401523,1.0018601993046725
FE+AR,53,-0.4584673478933884,-1.9348394522534162,1.0179047564666392,0.6075552800697802
FE+AR,54,-0.4211036577929256,-1.9154770031464374,1.073269687560586,0.07463110709173792
FE+AR,55,-0.38828159301968074,-1.896399106737631,1.1198359206982693,-0.1928969055598675
FE+AR,56,-0.35944911065290996,-1.8780875760323736,1.159189354726554,-0.05576598268345112
FE+AR,57,-0.3341212696053291,-1.8608288898980936,1.1925863506874355,0.21976511478549926
FE+AR,58,-0.31187207427170627,-1.8447773937430012,1.2210332451995887,0.5795112765743384
FE+AR,59,-0.2923273095969853,-1.8299981390482896,1.2453435198543188,0.9853032594727462
GP-CP,45,-0.8444107996409802,-1.502998112401475,-0.18582348688048522,-1.2836386799974253
GP-CP,46,-0.37719890308962045,-1.3752287379357533,0.6208309317565123,-1.102696514074689
GP-CP,47,0.017216232413866217,-1.1480097836046799,1.1824422484324124,-0.4691553471757304
GP-CP,48,0.2573027590788502,-0.9332237953845368,1.447829313542237,0.39449897791210015
GP-CP,49,0.3712384597281615,-0.7982466881133077,1.5407236075696307,0.977848372689508
GP-CP,50,0.4155070513968374,-0.7355965713760003,1.566610674169675,1.1696161600777184
GP-CP,51,0.43008666894795894,-0.7124220562692558,1.5725953941651738,1.1577239316235435
GP-CP,52,0.4341615988175839,-0.7055070241465704,1.5738302217817384,1.0018601993046725
GP-CP,53,0.43474373039576936,-0.7049949661202635,1.574482426911802,0.6075552800697802
GP-CP,54,0.43332382269955233,-0.709506697543761,1.5761543429428657,0.07463110709173792
GP-CP,55,0.4283920373608588,-0.7240166807639523,1.5808007554856698,-0.1928969055598675
GP-CP,56,0.41551446606303405,-0.7604273345488177,1.591456266674886,-0.05576598268345112
GP-CP,57,0.38743444125418214,-0.8352224575459726,1.6100913400543369,0.21976511478549926
GP-CP,58,0.3372469827497503,-0.9573969092098694,1.63189087470937,0.5795112765743384
GP-CP,59,0.2653780907958819,-1.1127346267814584,1.6434908083732225,0.9853032594727462
GP-CP-Extended,45,-0.8111630720483056,-1.2503417805718868,-0.3719843635247245,-1.2836386799974253
GP-CP-Extended,46,-0.27344369800744484,-1.137669876509452,0.5907824804945623,-1.102696514074689
GP-CP-Extended,47,0.1281414809273037,-0.9910866751517887,1.247369637006396,-0.4691553471757304
GP-CP-Extended,48,0.33112511869841443,-0.8486330769075076,1.5108833143043365,0.39449897791210015
GP-CP-Extended,49,0.4047773703296087,-0.7567964319127185,1.566351172571936,0.977848372689508
GP-CP-Extended,50,0.4244324357562178,-0.7172736183772291,1.5661384898896649,1.1696161600777184
GP-CP-Extended,51,0.4282782243811321,-0.7053092970110417,1.5618657457733058,1.1577239316235435
GP-CP-Extended,52,0.42877371718116974,-0.7026736906318974,1.560221124994237,1.0018601993046725
GP-CP-Extended,53,0.4286361073935896,-0.7027467498781379,1.560018964665317,0.6075552800697802
GP-CP-Extended,54,0.4277924909737483,-0.7052986048535248,1.5608835868010213,0.07463110709173792
GP-CP-Extended,55,0.4245062668065787,-0.7151428036109484,1.5641553372241057,-0.1928969055598675
GP-CP-Extended,56,0.41416614910562577,-0.7447355541673409,1.5730678523785926,-0.05576598268345112
GP-CP-Extended,57,0.38835711085018687,-0.8139527397725748,1.5906669614729485,0.21976511478549926
GP-CP-Extended,58,0.33807269920749095,-0.9365810731114854,1.6127264715264673,0.5795112765743384
GP-CP-Extended,59,0.26260278302069356,-1.098796140620698,1.6240017066620853,0.9853032594727462
