model,metric,value
FE+AR,MAE,0.8901927003910616
FE+AR,MAPE,202.56368310400273
FE+AR,RMSE,1.0578998695640363
FE+AR,Coverage,0.7333333333333333
FE+AR,CI_Width,2.7058677390733927
GP-CP,MAE,0.4798853746992288
GP-CP,MAPE,156.7933741362282
GP-CP,RMSE,0.5250249898269492
GP-CP,Coverage,1.0
GP-CP,CI_Width,2.2828625440956483
GP-CP-Extended,MAE,0.4890221958651806
GP-CP-Extended,MAPE,157.00347640655374
GP-CP-Extended,RMSE,0.5405966603730262
GP-CP-Extended,Coverage,0.9333333333333333
GP-CP-Extended,CI_Width,2.2096124396885655
