model,metric,value
FE+AR,Bias,-0.21109986487166899
FE+AR,MAE,0.42305921495348575
FE+AR,RMSE,0.5041539582631197
GP-CP,Bias,0.016591450240392342
GP-CP,MAE,0.30970748702289685
GP-CP,RMSE,0.38612134041331775
GP-CP-Extended,Bias,0.016976159108624166
GP-CP-Extended,MAE,0.3338292356252482
GP-CP-Extended,RMSE,0.4125530113903311
