model,effect_type,index,mean,lo95,hi95,truth
FE+AR,alpha,0,0.058673487474889804,-0.013557801479029644,0.13090477642880927,0.10088741114159135
FE+AR,alpha,1,-0.29371528753779236,-0.3659465764916975,-0.22148399858388726,-0.2334855038025467
FE+AR,alpha,2,-0.4542198914879172,-0.5264511804418222,-0.38198860253401223,-0.4492586323547866
FE+AR,alpha,3,-0.5845921601917727,-0.6568234491456777,-0.5123608712378678,-0.5581346404526559
FE+AR,alpha,4,-0.7288287463350341,-0.801060035288939,-0.6565974573811293,-0.6081923326160951
FE+AR,alpha,5,-0.6551668069874442,-0.727398095941349,-0.5829355180335395,-0.6534252117198098
FE+AR,alpha,6,-0.6903701570319154,-0.76260144598582,-0.6181388680780108,-0.722832733854193
FE+AR,alpha,7,-0.7102053615500753,-0.7824366505039798,-0.6379740725961708,-0.8029810128930325
FE+AR,alpha,8,-0.8446638659164025,-0.916895154870307,-0.772432576962498,-0.8419520057234
FE+AR,alpha,9,-0.7764899491438726,-0.848721238097777,-0.7042586601899682,-0.7732017021138774
FE+AR,alpha,10,-0.515527334029459,-0.5877586229833633,-0.44329604507555476,-0.5490531065667232
FE+AR,alpha,11,-0.16894055719353754,-0.24117184614744178,-0.0967092682396333,-0.16911094933206963
FE+AR,alpha,12,0.32146057977375286,0.24922929081984874,0.393691868727657,0.30928524230134447
FE+AR,alpha,13,0.8165455911950483,0.7443143022411443,0.8887768801489524,0.7840926597379461
FE+AR,alpha,14,1.1595122815894996,1.0872809926355955,1.2317435705434037,1.1407939160145621
FE+AR,alpha,15,1.30547623652199,1.2332449475680862,1.377707525475894,1.2914023355949993
FE+AR,alpha,16,1.185981822723775,1.1137505337698712,1.258213111677679,1.204801152705154
FE+AR,alpha,17,0.9695048803642659,0.8972735914103621,1.0417361693181695,0.9163552525527581
FE+AR,alpha,18,0.5123199964010373,0.4400887074471337,0.5845512853549409,0.5131224502392421
FE+AR,alpha,19,0.09324524136096471,0.021013952407061165,0.16547653031486825,0.10088741114159207
FE+AR,beta,0,0.15457911972589455,0.027294898366718057,0.28186334108507105,0.17654822158847228
FE+AR,beta,1,0.30195486325827586,0.1746706418992291,0.42923908461732263,0.297077530874179
FE+AR,beta,2,0.48889656679987276,0.36161234544082566,0.6161807881589199,0.33612469493619884
FE+AR,beta,3,0.36002909781502995,0.23274487645598282,0.48731331917407705,0.32738414579029057
FE+AR,beta,4,0.3394028783037529,0.21211865694470605,0.4666870996627997,0.30874663090047527
FE+AR,beta,5,0.3375661740870463,0.21028195272799943,0.4648503954460932,0.29776558681590143
FE+AR,beta,6,0.3538090347821324,0.22652481342308547,0.48109325614117926,0.2813424777298111
FE+AR,beta,7,0.2728198512260549,0.14553562986700827,0.4001040725851015,0.22521657918875812
FE+AR,beta,8,0.19860763054089747,0.07132340918185068,0.3258918518999443,0.09790061197566768
FE+AR,beta,9,-0.02161840153858475,-0.14890262289763165,0.10566581982046216,-0.10436541110134889
FE+AR,beta,10,-0.2842738294705356,-0.4115580508295822,-0.156989608111489,-0.3459457485042295
FE+AR,beta,11,-0.5103386211906141,-0.6376228425496611,-0.3830543998315672,-0.5609040616050968
FE+AR,beta,12,-0.6877902567050022,-0.8150744780640491,-0.5605060353459552,-0.6793891151598651
FE+AR,beta,13,-0.7430977046067223,-0.8703819259657689,-0.6158134832476757,-0.658538126667961
FE+AR,beta,14,-0.4493631391128117,-0.5766473604718587,-0.3220789177537647,-0.5024066878515638
FE+AR,beta,15,-0.22398451419527038,-0.35126873555431704,-0.09670029283622375,-0.2607774810880122
FE+AR,beta,16,-0.18995589582376443,-0.31724011718281137,-0.0626716744647175,-0.007346771291341848
FE+AR,beta,17,0.11994873163532016,-0.007335489723726635,0.24723295299436696,0.19181114564781707
FE+AR,beta,18,0.3199248377161118,0.19264061635706514,0.44720905907515845,0.30386759865296964
FE+AR,beta,19,0.3898154930246101,0.2625312716655634,0.5170997143836569,0.3366943938358923
FE+AR,beta,20,0.31440631515714934,0.1871220937981025,0.44169053651619616,0.325563962138153
FE+AR,beta,21,0.12058446832281883,-0.006699753036228107,0.24786868968186576,0.3073601825424897
FE+AR,beta,22,0.35541604690631745,0.22813182554727066,0.4827002682653643,0.2968855769877461
FE+AR,beta,23,0.32209923200656104,0.1948150106475141,0.449383453365608,0.2783422880146545
FE+AR,beta,24,0.2328348879372607,0.10555066657821358,0.36011910929630786,0.21657800134516073
FE+AR,beta,25,0.10242493668381344,-0.024859284675233406,0.2297091580428603,0.08176641592145947
FE+AR,beta,26,-0.22248140408562,-0.34976562544466694,-0.09519718272657304,-0.1263357947564302
FE+AR,beta,27,-0.38709403399263637,-0.5143782553516831,-0.25980981263358954,-0.36851600240809046
FE+AR,beta,28,-0.49843076434008454,-0.6257149856991316,-0.37114654298103744,-0.5771557482187525
FE+AR,beta,29,-0.7242551511308728,-0.8515393724899198,-0.5969709297718258,-0.6836903275927719
FE+AR,beta,30,-0.7343531108961641,-0.861637332255211,-0.6070688895371171,-0.6491129227563333
FE+AR,beta,31,-0.4708754304051836,-0.5981596517642306,-0.3435912090461366,-0.48220464904682697
FE+AR,beta,32,-0.23322141413221414,-0.36050563549126124,-0.10593719277316702,-0.23619385468287202
FE+AR,beta,33,0.04461141069470361,-0.08267281066434348,0.17189563205375072,0.014569327966684496
FE+AR,beta,34,0.20637900509762164,0.07909478373857448,0.3336632264566688,0.20626713241169406
FE+AR,beta,35,0.31050041204016393,0.18321619068111702,0.4377846333992108,0.30993141132470264
