model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,0.9157999336358379,0.7377883039917197,,
GP-CP,0.9201174011380793,0.7407281988496318,,
GP-CP-Extended,0.24869934310278988,0.19841633091866784,0.17818126614059415,0.14054084689692203
