model,effect_type,metric,value
FE+AR,alpha,Bias,-1.1934897514720432e-16
FE+AR,alpha,RMSE,0.02994605903958548
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,0.4671615027118491
FE+AR,beta,Bias,-1.3877787807814457e-17
FE+AR,beta,RMSE,0.06292578975433549
FE+AR,beta,Coverage,1.0
FE+AR,beta,CI_Width,0.8232206427819306
FE+AR,gamma,Bias,1.258252761241844e-17
FE+AR,gamma,RMSE,0.8738470558178706
FE+AR,gamma,Coverage,0.0
FE+AR,gamma,CI_Width,
GP-CP,alpha,Bias,-2.636779683484747e-16
GP-CP,alpha,RMSE,0.05592907325866967
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.3230216772979398
GP-CP,beta,Bias,-1.1564823173178715e-16
GP-CP,beta,RMSE,0.08656116195381622
GP-CP,beta,Coverage,1.0
GP-CP,beta,CI_Width,0.5304829739229255
GP-CP,gamma,Bias,1.258252761241844e-17
GP-CP,gamma,RMSE,0.8738470558178706
GP-CP,gamma,Coverage,0.0
GP-CP,gamma,CI_Width,
GP-CP-Extended,alpha,Bias,-2.525757381022231e-16
GP-CP-Extended,alpha,RMSE,0.02736161731012735
GP-CP-Extended,alpha,Coverage,0.95
GP-CP-Extended,alpha,CI_Width,0.12415905997586074
GP-CP-Extended,beta,Bias,-1.0269562977782698e-16
GP-CP-Extended,beta,RMSE,0.059267047572125905
GP-CP-Extended,beta,Coverage,0.8833333333333333
GP-CP-Extended,beta,CI_Width,0.19715177264809985
GP-CP-Extended,gamma,Bias,4.394632805807911e-18
GP-CP-Extended,gamma,RMSE,0.17818126614059415
GP-CP-Extended,gamma,Coverage,0.9408333333333333
GP-CP-Extended,gamma,CI_Width,0.6879895649191858
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
