model,metric,value
FE+AR,MAE,0.3665951297265066
FE+AR,MAPE,186.2420548767479
FE+AR,RMSE,0.39323901571976005
FE+AR,Coverage,1.0
FE+AR,CI_Width,1.2791365898440048
GP-CP,MAE,0.27034259893252155
GP-CP,MAPE,84.08315638444803
GP-CP,RMSE,0.3062852620794773
GP-CP,Coverage,0.8666666666666667
GP-CP,CI_Width,1.068841600289116
GP-CP-Extended,MAE,0.19999025936320472
GP-CP-Extended,MAPE,61.42009707427359
GP-CP-Extended,RMSE,0.22941420924156328
GP-CP-Extended,Coverage,1.0
GP-CP-Extended,CI_Width,1.0056675611940633
