model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,2.037733701999481,1.5485099117286818,,
GP-CP,2.0457385660893177,1.5613138383432745,,
GP-CP-Extended,0.2865762927372848,0.22565704360970065,0.025478705814154005,0.017592737756772926
