category,model,cohort_idx,time_idx,tau_ct,tau_ct_std,tau_ct_lo95,tau_ct_hi95,is_post,is_observed_ct,truth
scenD_seed2,FE+AR,0,0,-1.4410722329495094,0.6849833679328995,-2.7836396340979923,-0.09850483180102643,False,True,0.0
scenD_seed2,FE+AR,1,0,-1.2636747426891848,0.6849833679328545,-2.6062421438375796,0.07889265845921001,False,True,0.0
scenD_seed2,FE+AR,2,0,-1.1296438589184017,0.6849833679328543,-2.4722112600667963,0.21292354222999266,False,True,0.0
scenD_seed2,FE+AR,3,0,-0.982084558069908,0.6849833679328541,-2.324651959218302,0.3604828430784859,False,True,0.0
scenD_seed2,FE+AR,4,0,-0.8457847734888381,0.6849833679328539,-2.1883521746372314,0.4967826276595554,False,True,0.0
scenD_seed2,FE+AR,5,0,-0.7033917189965275,0.6849833679328536,-2.0459591201449205,0.6391756821518655,False,True,0.0
scenD_seed2,FE+AR,6,0,-0.46663222032443896,0.6849833679328534,-1.8091996214728314,0.8759351808239536,False,True,0.0
scenD_seed2,FE+AR,7,0,-0.33721494496714377,0.6849833679328532,-1.679782346115536,1.0053524561812484,False,True,0.0
scenD_seed2,FE+AR,8,0,-0.22885843579068565,0.684983367932853,-1.5714258369390777,1.1137089653577061,False,True,0.0
scenD_seed2,FE+AR,9,0,-0.09457392874171489,0.6849833679328529,-1.4371413298901066,1.2479934724066768,False,True,0.0
scenD_seed2,FE+AR,10,0,0.0759783770530113,0.6849833679328526,-1.2665890240953799,1.4185457782014026,False,True,0.0
scenD_seed2,FE+AR,11,0,0.25512700668244415,0.6849833679328523,-1.0874403944659465,1.5976944078308346,False,True,0.0
scenD_seed2,FE+AR,12,0,0.38505792889836665,0.6849833679328521,-0.9575094722500235,1.7276253300467568,False,True,0.0
scenD_seed2,FE+AR,13,0,0.5090852681052676,0.684983367932852,-0.8334821330431224,1.8516526692536575,False,True,0.0
scenD_seed2,FE+AR,14,0,0.6577403315870471,0.6849833679328517,-0.6848270695613423,2.0003077327354366,False,True,0.0
scenD_seed2,FE+AR,15,0,0.8505162176432783,0.6849833679328515,-0.4920511835051107,2.1930836187916674,False,True,0.0
scenD_seed2,FE+AR,16,0,1.0140205553488828,0.6849833679328513,-0.32854684579950577,2.3565879564972714,False,True,0.0
scenD_seed2,FE+AR,17,0,1.1439889642841603,0.6849833679328511,-0.19857843686422783,2.4865563654325484,False,True,0.0
scenD_seed2,FE+AR,18,0,1.28266861055865,0.6849833679328509,-0.05989879058973768,2.6252360117070377,False,True,0.0
scenD_seed2,FE+AR,19,0,1.4131795544086356,0.6849833679328506,0.07061215326024839,2.755746955557023,False,True,0.0
scenD_seed2,FE+AR,0,1,-1.4410722329495014,0.6849833679325592,-2.7836396340973173,-0.09850483180168546,False,True,0.0
scenD_seed2,FE+AR,1,1,-1.2636747426891768,0.6849833679325142,-2.606242143836905,0.0788926584585512,False,True,0.0
scenD_seed2,FE+AR,2,1,-1.129643858918394,0.6849833679325141,-2.4722112600661217,0.21292354222933385,False,True,0.0
scenD_seed2,FE+AR,3,1,-0.9820845580699001,0.6849833679325138,-2.3246519592176274,0.36048284307782696,False,True,0.0
scenD_seed2,FE+AR,4,1,-0.8457847734888302,0.6849833679325137,-2.188352174636557,0.4967826276588967,False,True,0.0
scenD_seed2,FE+AR,5,1,-0.7033917189965195,0.6849833679325135,-2.045959120144246,0.6391756821512069,False,True,0.0
scenD_seed2,FE+AR,6,1,-0.4666322203244311,0.6849833679325131,-1.8091996214721568,0.8759351808232947,False,True,0.0
scenD_seed2,FE+AR,7,1,-0.3372149449671358,0.6849833679325129,-1.679782346114861,1.0053524561805895,False,True,0.0
scenD_seed2,FE+AR,8,1,-0.22885843579067777,0.6849833679325128,-1.5714258369384029,1.1137089653570473,False,True,0.0
scenD_seed2,FE+AR,9,1,-0.09457392874170689,0.6849833679325126,-1.4371413298894316,1.2479934724060178,False,True,0.0
scenD_seed2,FE+AR,10,1,0.07597837705301924,0.6849833679325124,-1.266589024094705,1.4185457782007433,False,True,0.0
scenD_seed2,FE+AR,11,1,0.2551270066824521,0.684983367932512,-1.0874403944652715,1.5976944078301756,False,True,0.0
scenD_seed2,FE+AR,12,1,0.38505792889837454,0.6849833679325119,-0.9575094722493488,1.7276253300460978,False,True,0.0
scenD_seed2,FE+AR,13,1,0.5090852681052755,0.6849833679325117,-0.8334821330424473,1.8516526692529984,False,True,0.0
scenD_seed2,FE+AR,14,1,0.6577403315870551,0.6849833679325115,-0.6848270695606673,2.0003077327347776,False,True,0.0
scenD_seed2,FE+AR,15,1,0.8505162176432861,0.6849833679325115,-0.49205118350443633,2.1930836187910083,False,True,0.0
scenD_seed2,FE+AR,16,1,1.0140205553488908,0.684983367932511,-0.32854684579883076,2.3565879564966123,False,True,0.0
scenD_seed2,FE+AR,17,1,1.1439889642841683,0.6849833679325108,-0.1985784368635528,2.4865563654318894,False,True,0.0
scenD_seed2,FE+AR,18,1,1.282668610558658,0.6849833679325107,-0.05989879058906289,2.625236011706379,False,True,0.0
scenD_seed2,FE+AR,19,1,1.4131795544086436,0.6849833679325105,0.07061215326092318,2.755746955556364,False,True,0.0
scenD_seed2,FE+AR,0,2,-1.4410722329494954,0.6849833679325602,-2.7836396340973133,-0.09850483180167746,False,True,0.0
scenD_seed2,FE+AR,1,2,-1.2636747426891708,0.6849833679325152,-2.6062421438369006,0.07889265845855897,False,True,0.0
scenD_seed2,FE+AR,2,2,-1.1296438589183877,0.684983367932515,-2.472211260066117,0.21292354222934162,False,True,0.0
