model,period,mean,lo95,hi95,truth
FE+AR,45,-0.341352239289775,-0.6751808867135889,-0.007523591865961077,-0.5924761301884839
FE+AR,46,-0.31754778100036635,-0.7662857705571688,0.13119020855643615,-0.6866988606088663
FE+AR,47,-0.29616456447981476,-0.8195451742082235,0.22721604524859396,-0.6384757760419567
FE+AR,48,-0.2769563160414022,-0.8535657456083434,0.29965311352553897,-0.4612825459445953
FE+AR,49,-0.2597018114294711,-0.8759196583628166,0.3565160355038744,-0.21157647972333365
FE+AR,50,-0.24420232794675134,-0.8906140297994635,0.4022093739059608,0.0359323822484997
FE+AR,51,-0.230279355735484,-0.9000634661500481,0.4395047546790801,0.21990823843764676
FE+AR,52,-0.21777254185282502,-0.9058377328198636,0.47029264911421353,0.3152929357387554
FE+AR,53,-0.20653784346214044,-0.9090076270436881,0.4959319401194072,0.33669408257203126
FE+AR,54,-0.1964458688702217,-0.9103271188159123,0.5174353810754688,0.32181292527664196
FE+AR,55,-0.18738038730390016,-0.9103384550138738,0.5355776804060735,0.3048652600750553
FE+AR,56,-0.17923699026293613,-0.9094370560316425,0.5509630755057702,0.2949306933118335
FE+AR,57,-0.17192188903178438,-0.9079137064573276,0.5640699283937588,0.27114372422771094
FE+AR,58,-0.16535083450100063,-0.9059831036149371,0.5752814346129358,0.1972661897136413
FE+AR,59,-0.1594481468577108,-0.9038037906987242,0.5849074969833026,0.0474665847923463
GP-CP,45,-0.167582894489053,-0.5882023091040859,0.2530365201259799,-0.5924761301884839
GP-CP,46,-0.15376062836060161,-0.6324285191866614,0.32490726246545815,-0.6866988606088663
GP-CP,47,-0.12277694865143245,-0.6405328762367902,0.39497897893392536,-0.6384757760419567
GP-CP,48,-0.08585240139455683,-0.6194623882345214,0.44775758544540767,-0.4612825459445953
GP-CP,49,-0.050290088317272594,-0.5818918567340703,0.48131168009952513,-0.21157647972333365
GP-CP,50,-0.019854726937958214,-0.5400653060173153,0.5003558521413989,0.0359323822484997
GP-CP,51,0.004136279817358118,-0.5032688009373445,0.5115413605720607,0.21990823843764676
GP-CP,52,0.0218084145957623,-0.47743017900732176,0.5210470081988463,0.3152929357387554
GP-CP,53,0.03396725216301364,-0.4655568181435083,0.5334913224695356,0.33669408257203126
GP-CP,54,0.04159978463174723,-0.46840873820134316,0.5516083074648376,0.32181292527664196
GP-CP,55,0.04560994870814239,-0.4851238028265792,0.576343700242864,0.3048652600750553
GP-CP,56,0.04672968622300411,-0.5136498561674102,0.6071092286134184,0.2949306933118335
GP-CP,57,0.04554210666432131,-0.5509639435340791,0.6420481568627218,0.27114372422771094
GP-CP,58,0.04256165982780335,-0.5932010754706217,0.6783243951262284,0.1972661897136413
GP-CP,59,0.038320458007465155,-0.635967629878974,0.7126085458939044,0.0474665847923463
GP-CP-Extended,45,-0.3717159988327325,-0.6207112523037319,-0.12272074536173311,-0.5924761301884839
GP-CP-Extended,46,-0.3063644138348009,-0.724679594140148,0.11195076647054619,-0.6866988606088663
GP-CP-Extended,47,-0.20699830946130232,-0.7314038115666592,0.31740719264405465,-0.6384757760419567
GP-CP-Extended,48,-0.1105197083464606,-0.6653492206600177,0.4443098039670964,-0.4612825459445953
GP-CP-Extended,49,-0.03223830821439563,-0.5701747600917711,0.5056981436629798,-0.21157647972333365
GP-CP-Extended,50,0.026001566861442678,-0.4782272284464936,0.530230362169379,0.0359323822484997
GP-CP-Extended,51,0.06726920128565753,-0.4066803083456346,0.5412187109169497,0.21990823843764676
GP-CP-Extended,52,0.09536045061320961,-0.36182688768036264,0.5525477889067818,0.3152929357387554
GP-CP-Extended,53,0.1134222058321668,-0.3430597078938451,0.5699041195581787,0.33669408257203126
GP-CP-Extended,54,0.12367121482321272,-0.3465024918345795,0.593844921481005,0.32181292527664196
GP-CP-Extended,55,0.1274562610513778,-0.3682173719532912,0.6231298940560468,0.3048652600750553
GP-CP-Extended,56,0.1254463092218614,-0.40565136140628255,0.6565439798500053,0.2949306933118335
GP-CP-Extended,57,0.11793303355820375,-0.45682820072614916,0.6926942678425566,0.27114372422771094
GP-CP-Extended,58,0.10530941143784689,-0.5180858396287576,0.7287046625044514,0.1972661897136413
GP-CP-Extended,59,0.08867064450603682,-0.5824051117764273,0.7597464007885009,0.0474665847923463
