model,effect_type,metric,value
FE+AR,alpha,Bias,3.538835890992686e-17
FE+AR,alpha,RMSE,0.04270932451379489
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,1.039474565774749
FE+AR,beta,Bias,0.0
FE+AR,beta,RMSE,0.06973137597695758
FE+AR,beta,Coverage,1.0
FE+AR,beta,CI_Width,1.8317368088448278
FE+AR,gamma,Bias,1.7763568394002505e-17
FE+AR,gamma,RMSE,2.029148969614347
FE+AR,gamma,Coverage,0.0
FE+AR,gamma,CI_Width,
GP-CP,alpha,Bias,-6.938893903907229e-19
GP-CP,alpha,RMSE,0.06855566445174675
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.5382359004240636
GP-CP,beta,Bias,2.4517425127138873e-17
GP-CP,beta,RMSE,0.14628813304814292
GP-CP,beta,Coverage,1.0
GP-CP,beta,CI_Width,0.6949254081255977
GP-CP,gamma,Bias,1.7763568394002505e-17
GP-CP,gamma,RMSE,2.029148969614347
GP-CP,gamma,Coverage,0.0
GP-CP,gamma,CI_Width,
GP-CP-Extended,alpha,Bias,-2.0816681711721684e-18
GP-CP-Extended,alpha,RMSE,0.02922983827470408
GP-CP-Extended,alpha,Coverage,0.9
GP-CP-Extended,alpha,CI_Width,0.0929085924132785
GP-CP-Extended,beta,Bias,-9.714451465470119e-18
GP-CP-Extended,beta,RMSE,0.037598659788947233
GP-CP-Extended,beta,Coverage,0.9833333333333333
GP-CP-Extended,beta,CI_Width,0.1533553890957725
GP-CP-Extended,gamma,Bias,-2.473715676742927e-17
GP-CP-Extended,gamma,RMSE,0.025478705814154005
GP-CP-Extended,gamma,Coverage,1.0
GP-CP-Extended,gamma,CI_Width,0.1673267948909208
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
