category,model,time_idx,tau_t,tau_t_std,tau_t_lo95,tau_t_hi95,is_post,n_active_cohorts,truth
scenB_seed3,FE+AR,0,0.11046894215805234,0.08387403516371104,-0.0539241667628213,0.274862051078926,False,20,0.0
scenB_seed3,FE+AR,1,0.11046894215805488,0.08387403516367847,-0.053924166762754924,0.2748620510788647,False,20,0.0
scenB_seed3,FE+AR,2,0.11046894215805214,0.08387403516367856,-0.053924166762757825,0.2748620510788621,False,20,0.0
scenB_seed3,FE+AR,3,0.11046894215806077,0.08387403516367868,-0.05392416676274944,0.27486205107887096,False,20,0.0
scenB_seed3,FE+AR,4,0.11046894215805517,0.08387403516367863,-0.05392416676275494,0.2748620510788653,False,20,0.0
scenB_seed3,FE+AR,5,0.11046894215805343,0.08387403516367864,-0.0539241667627567,0.2748620510788636,False,20,0.0
scenB_seed3,FE+AR,6,0.11046894215805367,0.08387403516367867,-0.05392416676275652,0.27486205107886386,False,20,0.0
scenB_seed3,FE+AR,7,0.11046894215805522,0.08387403516367851,-0.05392416676275466,0.2748620510788651,False,20,0.0
scenB_seed3,FE+AR,8,0.11046894215805356,0.08387403516367853,-0.053924166762756354,0.27486205107886347,False,20,0.0
scenB_seed3,FE+AR,9,0.11046894215805488,0.0838740351636786,-0.053924166762755174,0.2748620510788649,False,20,0.0
scenB_seed3,FE+AR,10,0.1104689421580618,0.08387403516367849,-0.05392416676274803,0.2748620510788716,False,20,0.0
scenB_seed3,FE+AR,11,0.11046894215806016,0.08387403516367861,-0.053924166762749914,0.27486205107887024,False,20,0.0
scenB_seed3,FE+AR,12,0.11046894215805433,0.08387403516367853,-0.053924166762755577,0.27486205107886424,False,20,0.0
scenB_seed3,FE+AR,13,0.11046894215805633,0.0838740351636785,-0.05392416676275352,0.2748620510788662,False,20,0.0
scenB_seed3,FE+AR,14,0.11046894215805514,0.08387403516367856,-0.05392416676275483,0.2748620510788651,False,20,0.0
scenB_seed3,FE+AR,15,0.11046894215805654,0.08387403516367845,-0.0539241667627532,0.2748620510788663,False,20,0.0
scenB_seed3,FE+AR,16,0.11046894215805592,0.08387403516367858,-0.053924166762754105,0.27486205107886597,False,20,0.0
scenB_seed3,FE+AR,17,0.1104689421580527,0.08387403516367854,-0.05392416676275724,0.27486205107886263,False,20,0.0
scenB_seed3,FE+AR,18,0.11046894215805377,0.0838740351636785,-0.05392416676275609,0.27486205107886363,False,20,0.0
scenB_seed3,FE+AR,19,0.11046894215805243,0.08387403516367854,-0.053924166762757506,0.27486205107886236,False,20,0.0
scenB_seed3,FE+AR,20,0.11046894215805221,0.08387403516367851,-0.05392416676275767,0.2748620510788621,False,20,0.0
scenB_seed3,FE+AR,21,0.11046894215805562,0.08387403516367857,-0.05392416676275437,0.27486205107886563,False,20,0.0
scenB_seed3,FE+AR,22,0.11046894215805343,0.08387403516367851,-0.05392416676275645,0.2748620510788633,False,20,0.0
scenB_seed3,FE+AR,23,0.11046894215805554,0.08387403516367854,-0.0539241667627544,0.27486205107886547,False,20,0.0
scenB_seed3,FE+AR,24,0.11046894215805665,0.08387403516367861,-0.053924166762753425,0.27486205107886674,False,20,0.0
scenB_seed3,FE+AR,25,0.11046894215805166,0.0838740351636785,-0.0539241667627582,0.2748620510788615,False,20,0.0
scenB_seed3,FE+AR,26,0.11046894215805429,0.08387403516367851,-0.05392416676275559,0.2748620510788642,False,20,0.0
scenB_seed3,FE+AR,27,0.11046894215805651,0.0838740351636785,-0.05392416676275334,0.27486205107886635,False,20,0.0
