model,period,mean,lo95,hi95,truth
FE+AR,45,-0.5198986721024558,-1.3452235464054052,0.30542620220049377,-0.02032984447444125
FE+AR,46,-0.480287832246781,-1.6013038993550461,0.6407282348614842,0.1963699715959845
FE+AR,47,-0.44387807612548175,-1.764079866836779,0.8763237145858156,0.32935750616098974
FE+AR,48,-0.41041071351356356,-1.877984309967923,1.057162882940796,0.3364824305022681
FE+AR,49,-0.37964795980364796,-1.9610689188349553,1.2017729992276593,0.16286419220535983
FE+AR,50,-0.3513712465534704,-2.022949951074314,1.3202074579673733,-0.11769704758642592
FE+AR,51,-0.3253796685636546,-2.069504516246996,1.418745179119687,-0.5949317099623811
FE+AR,52,-0.30148855645229783,-2.104634543670559,1.5016574307659636,-1.4130522849339946
FE+AR,53,-0.2795281645845526,-2.1310756076136816,1.5720192784445763,-2.1052173699843877
FE+AR,54,-0.259342465034983,-2.1508194341710993,1.6321345041011335,-2.0084870187713078
FE+AR,55,-0.2407880390138352,-2.1653560747811853,1.6837799967535148,-1.2193661007715142
FE+AR,56,-0.22373305788083866,-2.1758227289961996,1.7283566132345223,-0.3212786819080472
FE+AR,57,-0.20805634650667168,-2.18310028593546,1.7669875929221166,0.3228845290592528
FE+AR,58,-0.1936465223273026,-2.1878787068802623,1.8005856622256573,0.6282909231457542
FE+AR,59,-0.1804012039742138,-2.1907028764767205,1.829900468528293,0.7422820402297279
GP-CP,45,-0.2534107773132617,-0.9459654717974744,0.43914391717095086,-0.02032984447444125
GP-CP,46,-0.10984582545013159,-1.1947732218883935,0.9750815709881304,0.1963699715959845
GP-CP,47,-0.11031710673440936,-1.4843030709734646,1.263668857504646,0.32935750616098974
GP-CP,48,-0.19898488739876324,-1.692885744183163,1.2949159693856367,0.3364824305022681
GP-CP,49,-0.30666221556293605,-1.7945875124699473,1.181263081344075,0.16286419220535983
GP-CP,50,-0.3928965397635572,-1.8273313423049595,1.0415382627778453,-0.11769704758642592
GP-CP,51,-0.4476400876207709,-1.834255560184896,0.9389753849433542,-0.5949317099623811
GP-CP,52,-0.47656700328024143,-1.8379005764876506,0.8847665699271678,-1.4130522849339946
GP-CP,53,-0.4883360266215759,-1.8459509075260343,0.8692788542828824,-2.1052173699843877
GP-CP,54,-0.4885871778957095,-1.8627086783448141,0.885534322553395,-2.0084870187713078
GP-CP,55,-0.4786367195824175,-1.893687979356707,0.936414540191872,-1.2193661007715142
GP-CP,56,-0.4563667725825171,-1.9436186463780825,1.0308851012130482,-0.3212786819080472
GP-CP,57,-0.4183505462906255,-2.0107880315283286,1.1740869389470774,0.3228845290592528
GP-CP,58,-0.36296565821967186,-2.083212230833655,1.3572809143943114,0.6282909231457542
GP-CP,59,-0.29339525870394795,-2.1430028033635597,1.5562122859556637,0.7422820402297279
GP-CP-Extended,45,-0.2720475452602015,-0.7645380003674959,0.22044290984709292,-0.02032984447444125
GP-CP-Extended,46,-0.25076644193288655,-1.2714311642522749,0.7698982803865018,0.1963699715959845
GP-CP-Extended,47,-0.31053993253373735,-1.6811669322441776,1.060087067176703,0.32935750616098974
GP-CP-Extended,48,-0.3717074252683603,-1.8403386082898712,1.0969237577531505,0.3364824305022681
GP-CP-Extended,49,-0.40585581884979155,-1.853489989212685,1.0417783515131018,0.16286419220535983
GP-CP-Extended,50,-0.4189997054028742,-1.8376228418895144,0.999623431083766,-0.11769704758642592
GP-CP-Extended,51,-0.4227380977775421,-1.8288678259461073,0.9833916303910231,-0.5949317099623811
GP-CP-Extended,52,-0.42351224574880664,-1.8262788233462457,0.9792543318486323,-1.4130522849339946
GP-CP-Extended,53,-0.42341722409868476,-1.8260593064048383,0.9792248582074689,-2.1052173699843877
GP-CP-Extended,54,-0.42236824795849764,-1.8275515678051426,0.9828150718881474,-2.0084870187713078
GP-CP-Extended,55,-0.41840475454473436,-1.8330886338273364,0.9962791247378678,-1.2193661007715142
GP-CP-Extended,56,-0.406566689889357,-1.8481757573737587,1.0350423775950448,-0.3212786819080472
GP-CP-Extended,57,-0.37847873634015866,-1.87854834708574,1.1215908744054226,0.3228845290592528
GP-CP-Extended,58,-0.3260210739505194,-1.9203346547244997,1.268292506823461,0.6282909231457542
GP-CP-Extended,59,-0.24947305393455668,-1.9543942594849972,1.455448151615884,0.7422820402297279
