         model metric     value
         FE+AR   Bias -0.000925
         FE+AR    MAE  1.067331
         FE+AR   RMSE  1.328105
         GP-CP   Bias -0.033265
         GP-CP    MAE  1.001826
         GP-CP   RMSE  1.251040
GP-CP-Extended   Bias -0.047794
GP-CP-Extended    MAE  1.002518
GP-CP-Extended   RMSE  1.244407
