model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,0.9675402672172846,0.7606076345495886,,
GP-CP,0.9725548277859568,0.7637538536831234,,
GP-CP-Extended,0.24378317881073028,0.19320520245407233,0.18009397712249595,0.14560766621649573
