model,effect_type,index,mean,lo95,hi95,truth
FE+AR,alpha,0,-0.33307818059458405,-0.4074260253405073,-0.2587303358486608,-0.29306313250655286
FE+AR,alpha,1,-0.273963002528401,-0.34831084727430944,-0.19961515778249256,-0.1984915678127017
FE+AR,alpha,2,0.011206276464703152,-0.0631415682812052,0.0855541212106115,0.09830084070744546
FE+AR,alpha,3,0.2909820142092303,0.21663416946332203,0.3653298589551386,0.25912609057726976
FE+AR,alpha,4,-0.09787472056225996,-0.17222256530816815,-0.02352687581635178,-0.08932727395787349
FE+AR,alpha,5,-0.6741772277023527,-0.7485250724482607,-0.5998293829564446,-0.7629196817912777
FE+AR,alpha,6,-1.1552134069686804,-1.2295612517145884,-1.0808655622227723,-1.1612913057268877
FE+AR,alpha,7,-0.8838499200766036,-0.9581977648225115,-0.8095020753306956,-0.9249843387519611
FE+AR,alpha,8,-0.1690458511107596,-0.24339369585666742,-0.09469800636485176,-0.17426384362693925
FE+AR,alpha,9,0.6269708003973308,0.552622955651423,0.7013186451432385,0.6611620738527834
FE+AR,alpha,10,1.228999734029693,1.1546518892837854,1.3033475787756006,1.1882264048661648
FE+AR,alpha,11,1.3993407568398823,1.3249929120939747,1.47368860158579,1.3757266224744353
FE+AR,alpha,12,1.3567548086090535,1.2824069638631461,1.431102653354961,1.3137891843420606
FE+AR,alpha,13,0.8447348516395023,0.770387006893595,0.9190826963854097,0.8474532697438921
FE+AR,alpha,14,0.025172782794209564,-0.04917506195169771,0.09952062754011684,-0.021202854627440156
FE+AR,alpha,15,-0.8127364987361556,-0.8870843434820628,-0.7383886539902484,-0.7635404325731726
FE+AR,alpha,16,-0.9117020604846382,-0.9860499052305454,-0.837354215738731,-0.9090962983587364
FE+AR,alpha,17,-0.5840433597692648,-0.6583912045151719,-0.5096955150233577,-0.577041288753162
FE+AR,alpha,18,-0.11519092709795996,-0.18953877184386692,-0.04084308235205299,-0.09993836826191242
FE+AR,alpha,19,0.22671313064805276,0.15236528590214587,0.30106097539395965,0.23137590018456622
FE+AR,beta,0,-0.43444365761269976,-0.5654576221323551,-0.30342969309304446,-0.35593668168949866
FE+AR,beta,1,-0.6784639693199109,-0.8094779338394331,-0.5474500048003887,-0.6793259683182108
FE+AR,beta,2,-1.0556527509028562,-1.1866667154223787,-0.9246387863833336,-0.9972103035543042
FE+AR,beta,3,-1.3245228988592024,-1.455536863378725,-1.1935089343396799,-1.4913913275061774
FE+AR,beta,4,-2.0171305990956343,-2.1481445636151566,-1.886116634576112,-1.9681408234104474
FE+AR,beta,5,-1.9471152886177947,-2.078129253137317,-1.8161013240982724,-1.866026849203992
FE+AR,beta,6,-1.277903181147329,-1.4089171456668512,-1.1468892166278066,-1.1541601008138278
FE+AR,beta,7,-0.5617468261946448,-0.6927607907141669,-0.4307328616751227,-0.579143237745524
FE+AR,beta,8,-0.5277353319523139,-0.6587492964718362,-0.3967213674327916,-0.5336538157199375
FE+AR,beta,9,-0.4640308563943536,-0.595044820913876,-0.3330168918748312,-0.5123562705621928
FE+AR,beta,10,-0.1660722439978846,-0.29708620851740675,-0.03505827947836246,-0.20881881210699646
FE+AR,beta,11,0.03646505778462303,-0.09454890673489932,0.16747902230414538,-0.11139414919285913
FE+AR,beta,12,-0.44335701880912803,-0.5743709833286504,-0.3123430542896056,-0.37715524802230693
FE+AR,beta,13,-0.3591518063655752,-0.4901657708850973,-0.22813784184605312,-0.40658220495961395
FE+AR,beta,14,-0.03319868979637311,-0.1642126543158956,0.09781527472314938,-0.06527695203000657
FE+AR,beta,15,0.07484401592997511,-0.056169948589546936,0.20585798044949716,0.1570051396993594
FE+AR,beta,16,0.24622876361557783,0.11521479909605545,0.3772427281351002,0.24698529537394973
FE+AR,beta,17,0.4526122737737669,0.32159830925424465,0.5836262382932891,0.43838047038979017
FE+AR,beta,18,0.5523909512738098,0.4213769867542877,0.6834049157933318,0.6060299173264225
FE+AR,beta,19,0.9103044538353652,0.779290489315843,1.0413184183548874,0.7795424465429927
FE+AR,beta,20,0.9976639004251691,0.8666499359056468,1.1286778649446914,1.1107043925595095
FE+AR,beta,21,1.2450671051656395,1.1140531406461172,1.3760810696851618,1.2746108792318869
FE+AR,beta,22,1.1056922888141554,0.9746783242946332,1.2367062533336777,1.024116924001739
FE+AR,beta,23,0.8376199895217635,0.7066060250022412,0.9686339540412858,0.7942492620400098
FE+AR,beta,24,1.0344518448103726,0.90343788029085,1.165465809329895,1.0422341420905799
FE+AR,beta,25,1.6349258340452355,1.5039118695257132,1.7659397985647578,1.6361057152529304
FE+AR,beta,26,2.1133434368316553,1.982329472312133,2.2443574013511776,2.0780497814862313
FE+AR,beta,27,2.0229133334119713,1.891899368892449,2.1539272979314936,2.064062923680652
FE+AR,beta,28,1.7644601265008004,1.633446161981278,1.895474091020323,1.7937947039483728
