category,model,cohort_idx,time_idx,tau_ct,tau_ct_std,tau_ct_lo95,tau_ct_hi95,is_post,is_observed_ct,truth
scenA_seed3,FE+AR,0,0,0.12966178295060093,0.11607056419126927,-0.09783652286428682,0.35716008876548866,False,True,0.0
scenA_seed3,FE+AR,1,0,0.10644807409292767,0.11607056419126073,-0.12105023172194335,0.3339463799077987,False,True,0.0
scenA_seed3,FE+AR,2,0,0.12650674540893436,0.11607056419126069,-0.10099156040593657,0.3540050512238053,False,True,0.0
scenA_seed3,FE+AR,3,0,0.1315196423886722,0.11607056419126065,-0.09597866342619868,0.35901794820354305,False,True,0.0
scenA_seed3,FE+AR,4,0,0.1129095167281583,0.11607056419126062,-0.11458878908671252,0.34040782254302915,False,True,0.0
scenA_seed3,FE+AR,5,0,0.1203489760401899,0.11607056419126059,-0.10714932977468086,0.34784728185506064,False,True,0.0
scenA_seed3,FE+AR,6,0,0.09298244077804174,0.11607056419126054,-0.1345158650368289,0.32048074659291237,False,True,0.0
scenA_seed3,FE+AR,7,0,0.06927574379851231,0.1160705641912605,-0.15822256201635826,0.2967740496133829,False,True,0.0
scenA_seed3,FE+AR,8,0,0.077515867253239,0.11607056419126047,-0.14998243856163151,0.3050141730681095,False,True,0.0
scenA_seed3,FE+AR,9,0,0.11796994317486831,0.11607056419126044,-0.10952836264000215,0.34546824898973877,False,True,0.0
scenA_seed3,FE+AR,10,0,0.1193442808822095,0.1160705641912604,-0.10815402493266088,0.3468425866970799,False,True,0.0
scenA_seed3,FE+AR,11,0,0.11761108324543657,0.11607056419126034,-0.1098872225694337,0.34510938906030686,False,True,0.0
scenA_seed3,FE+AR,12,0,0.09368298505753792,0.11607056419126031,-0.1338153207573323,0.3211812908724081,False,True,0.0
scenA_seed3,FE+AR,13,0,0.12536784303368853,0.11607056419126029,-0.10213046278118162,0.3528661488485587,False,True,0.0
scenA_seed3,FE+AR,14,0,0.1283718347653705,0.11607056419126024,-0.09912647104949956,0.3558701405802406,False,True,0.0
scenA_seed3,FE+AR,15,0,0.1703198326724089,0.1160705641912602,-0.05717847314246108,0.39781813848727887,False,True,0.0
scenA_seed3,FE+AR,16,0,0.08521786160635014,0.11607056419126016,-0.14228044420851976,0.31271616742122005,False,True,0.0
scenA_seed3,FE+AR,17,0,0.10370643425905768,0.11607056419126013,-0.12379187155581217,0.33120474007392753,False,True,0.0
scenA_seed3,FE+AR,18,0,0.13634455482544716,0.11607056419126009,-0.0911537509894226,0.3638428606403169,False,True,0.0
scenA_seed3,FE+AR,19,0,0.13644090306812395,0.11607056419126006,-0.09105740274674576,0.3639392088829937,False,True,0.0
scenA_seed3,FE+AR,0,1,0.12966178295060127,0.1160705641912262,-0.09783652286420208,0.3571600887654046,False,True,0.0
scenA_seed3,FE+AR,1,1,0.10644807409292822,0.11607056419121765,-0.12105023172185839,0.3339463799077148,False,True,0.0
scenA_seed3,FE+AR,2,1,0.1265067454089348,0.11607056419121761,-0.10099156040585172,0.35400505122372133,False,True,0.0
scenA_seed3,FE+AR,3,1,0.13151964238867264,0.11607056419121757,-0.0959786634261138,0.3590179482034591,False,True,0.0
scenA_seed3,FE+AR,4,1,0.11290951672815874,0.11607056419121754,-0.11458878908662765,0.3404078225429451,False,True,0.0
scenA_seed3,FE+AR,5,1,0.12034897604019035,0.1160705641912175,-0.10714932977459596,0.34784728185497665,False,True,0.0
scenA_seed3,FE+AR,6,1,0.09298244077804241,0.11607056419121746,-0.13451586503674381,0.32048074659282866,False,True,0.0
scenA_seed3,FE+AR,7,1,0.06927574379851276,0.11607056419121745,-0.15822256201627344,0.29677404961329895,False,True,0.0
