model,effect_type,metric,value,task
FE+AR,alpha,Bias,-1.2351231148954867e-16,fit
FE+AR,alpha,RMSE,0.0422644167235076,fit
FE+AR,alpha,Coverage,0.85,fit
FE+AR,alpha,CI_Width,0.1486956894918168,fit
FE+AR,beta,Bias,3.053113317719181e-17,fit
FE+AR,beta,RMSE,0.0649361600426192,fit
FE+AR,beta,Coverage,0.95,fit
FE+AR,beta,CI_Width,0.2620279290390491,fit
GP-CP,alpha,Bias,-9.853229343548264e-17,fit
GP-CP,alpha,RMSE,0.0341468324193121,fit
GP-CP,alpha,Coverage,0.9,fit
GP-CP,alpha,CI_Width,0.1178674433578869,fit
GP-CP,beta,Bias,2.636779683484747e-17,fit
GP-CP,beta,RMSE,0.0468122916073706,fit
GP-CP,beta,Coverage,1.0,fit
GP-CP,beta,CI_Width,0.205077113070073,fit
GP-CP-Extended,alpha,Bias,2.775557561562892e-18,fit
GP-CP-Extended,alpha,RMSE,0.0340423998196217,fit
GP-CP-Extended,alpha,Coverage,0.85,fit
GP-CP-Extended,alpha,CI_Width,0.1151558627506423,fit
GP-CP-Extended,beta,Bias,1.572815951552305e-17,fit
GP-CP-Extended,beta,RMSE,0.0468536459165294,fit
GP-CP-Extended,beta,Coverage,0.9833333333333332,fit
GP-CP-Extended,beta,CI_Width,0.1994019676661329,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.7662037949915635,extrapolation
FE+AR,beta,MAPE,260.75014826709605,extrapolation
FE+AR,beta,RMSE,0.9258770001214282,extrapolation
FE+AR,beta,Coverage,0.9333333333333332,extrapolation
FE+AR,beta,CI_Width,3.3054728246326524,extrapolation
GP-CP,beta,MAE,0.6834892546249844,extrapolation
GP-CP,beta,MAPE,147.34785899309512,extrapolation
GP-CP,beta,RMSE,0.8345299827972883,extrapolation
GP-CP,beta,Coverage,0.8666666666666667,extrapolation
GP-CP,beta,CI_Width,2.8100352500765364,extrapolation
GP-CP-Extended,beta,MAE,0.6835781351436947,extrapolation
GP-CP-Extended,beta,MAPE,147.25911263325494,extrapolation
GP-CP-Extended,beta,RMSE,0.8346302347271162,extrapolation
GP-CP-Extended,beta,Coverage,0.8666666666666667,extrapolation
GP-CP-Extended,beta,CI_Width,2.789816190542458,extrapolation
