category,model,cohort_idx,time_idx,tau_ct,tau_ct_std,tau_ct_lo95,tau_ct_hi95,is_post,is_observed_ct,truth
scenC_seed3,FE+AR,0,0,0.034819201959896295,0.10759413362532344,-0.17606529994573764,0.24570370386553023,False,True,0.0
scenC_seed3,FE+AR,1,0,0.033289098515211224,0.1075941336253158,-0.17759540339040772,0.24417360042083017,False,True,0.0
scenC_seed3,FE+AR,2,0,0.03130045373329282,0.10759413362531574,-0.179584048172326,0.24218495563891165,False,True,0.0
scenC_seed3,FE+AR,3,0,0.007878823181088457,0.10759413362531572,-0.20300567872453035,0.21876332508670726,False,True,0.0
scenC_seed3,FE+AR,4,0,0.02534811697000383,0.1075941336253157,-0.18553638493561492,0.23623261887562258,False,True,0.0
scenC_seed3,FE+AR,5,0,0.0418444151067352,0.10759413362531564,-0.16904008679888347,0.2527289170123539,False,True,0.0
scenC_seed3,FE+AR,6,0,-0.001368149688418141,0.10759413362531561,-0.21225265159403675,0.20951635221720047,False,True,0.0
scenC_seed3,FE+AR,7,0,0.014952061526676053,0.10759413362531559,-0.1959324403789425,0.2258365634322946,False,True,0.0
scenC_seed3,FE+AR,8,0,0.010726796534823446,0.10759413362531554,-0.20015770537079502,0.22161129844044192,False,True,0.0
scenC_seed3,FE+AR,9,0,-0.02193597890955934,0.10759413362531552,-0.23282048081517775,0.18894852299605908,False,True,0.0
scenC_seed3,FE+AR,10,0,-0.020750910631639752,0.10759413362531547,-0.23163541253725808,0.19013359127397858,False,True,0.0
scenC_seed3,FE+AR,11,0,0.013840415437996911,0.10759413362531545,-0.19704408646762137,0.2247249173436152,False,True,0.0
scenC_seed3,FE+AR,12,0,0.0018857192932231204,0.10759413362531542,-0.2089987826123951,0.21277022119884134,False,True,0.0
scenC_seed3,FE+AR,13,0,0.01612865117542306,0.10759413362531538,-0.19475585073019508,0.2270131530810412,False,True,0.0
scenC_seed3,FE+AR,14,0,-0.006159887157586974,0.10759413362531534,-0.21704438906320503,0.20472461474803108,False,True,0.0
scenC_seed3,FE+AR,15,0,-0.025062168614035762,0.10759413362531531,-0.23594667051965376,0.18582233329158224,False,True,0.0
scenC_seed3,FE+AR,16,0,-0.02585964743847241,0.10759413362531527,-0.23674414934409033,0.1850248544671455,False,True,0.0
scenC_seed3,FE+AR,17,0,0.011214112988512548,0.10759413362531524,-0.1996703889171053,0.2220986148941304,False,True,0.0
scenC_seed3,FE+AR,18,0,0.015812468985550554,0.10759413362531521,-0.19507203292006725,0.22669697089116836,False,True,0.0
scenC_seed3,FE+AR,19,0,-0.0166961647963777,0.10759413362531518,-0.22758066670199545,0.19418833710924005,False,True,0.0
scenC_seed3,FE+AR,0,1,0.03481920195990107,0.1075941336252791,-0.17606529994564596,0.2457037038654481,False,True,0.0
scenC_seed3,FE+AR,1,1,0.03328909851521611,0.10759413362527147,-0.17759540339031596,0.24417360042074818,False,True,0.0
scenC_seed3,FE+AR,2,1,0.031300453733297706,0.10759413362527144,-0.1795840481722343,0.24218495563882972,False,True,0.0
scenC_seed3,FE+AR,3,1,0.007878823181093342,0.1075941336252714,-0.2030056787244386,0.21876332508662527,False,True,0.0
scenC_seed3,FE+AR,4,1,0.025348116970008716,0.10759413362527136,-0.18553638493552313,0.23623261887554056,False,True,0.0
scenC_seed3,FE+AR,5,1,0.041844415106740085,0.10759413362527133,-0.1690400867987917,0.25272891701227185,False,True,0.0
scenC_seed3,FE+AR,6,1,-0.001368149688413367,0.10759413362527129,-0.21225265159394507,0.20951635221711834,False,True,0.0
scenC_seed3,FE+AR,7,1,0.014952061526680938,0.10759413362527125,-0.19593244037885071,0.2258365634322126,False,True,0.0
