model,effect_type,index,mean,lo95,hi95,truth
FE+AR,beta,17,-0.14223317382068948,-0.2712826731115759,-0.013183674529803069,-0.18276947363173493
FE+AR,beta,18,-0.10206264347754512,-0.2311121427684314,0.02698685581334115,-0.08566705293551292
FE+AR,beta,19,-0.018520928535851966,-0.14757042782673827,0.11052857075503433,0.0015772015199074802
FE+AR,beta,20,0.12980030069432819,0.0007508014034416921,0.2588497999852147,0.1287305880353711
FE+AR,beta,21,0.24553804043780714,0.11648854114692062,0.37458753972869363,0.31185169381553585
FE+AR,beta,22,0.41585076320176817,0.2868012639108818,0.5449002624926546,0.5024235706960724
FE+AR,beta,23,0.5471067719937471,0.41805727270286064,0.6761562712846336,0.6066659979532112
FE+AR,beta,24,0.4750784008393411,0.3460289015484544,0.6041279001302278,0.5441623561035577
FE+AR,beta,25,0.3022363407599077,0.17318684146902127,0.43128584005079407,0.3058453022729989
FE+AR,beta,26,0.031487893303959846,-0.0975616059869267,0.1605373925948464,-0.02978578945587622
FE+AR,beta,27,-0.26363532296749276,-0.3926848222583792,-0.13458582367660635,-0.33546777084838086
FE+AR,beta,28,-0.5341734585630287,-0.6632229578539153,-0.405123959272142,-0.5046933635206385
FE+AR,beta,29,-0.4271895792636375,-0.556239078554524,-0.29814007997275094,-0.5066611938680771
FE+AR,beta,30,-0.4412679209460895,-0.5703174202369761,-0.31221842165520297,-0.3916318599516645
FE+AR,beta,31,-0.2763506129854463,-0.40540011227633277,-0.14730111369455975,-0.2459378432066193
FE+AR,beta,32,-0.010020201653153205,-0.1390697009440399,0.11902929763773348,-0.13013856989783867
FE+AR,beta,33,0.006813718628641441,-0.12223578066224519,0.13586321791952807,-0.04411141104698911
FE+AR,beta,34,0.08292642810338624,-0.04612307118750042,0.2119759273942729,0.05774500319059439
FE+AR,beta,35,0.17955240762373376,0.05050290833284732,0.3086019069146202,0.2147106203542253
FE+AR,beta,36,0.3997874318387365,0.27073793254784995,0.528836931129623,0.41150676911199924
FE+AR,beta,37,0.5957024171559213,0.4666529178650346,0.724751916446808,0.5714345701287801
FE+AR,beta,38,0.6037291893509187,0.4746796900600322,0.7327786886418052,0.5989875343568406
FE+AR,beta,39,0.41344896200064485,0.28439946270975835,0.5424984612915313,0.44400925768149335
