model,metric,value
FE+AR,MAE,0.3319816800354011
FE+AR,MAPE,854.1034376290147
FE+AR,RMSE,0.39428655870464624
FE+AR,Coverage,0.9333333333333333
FE+AR,CI_Width,1.2639023001990288
GP-CP,MAE,0.2906305379843999
GP-CP,MAPE,413.2194787901618
GP-CP,RMSE,0.34917087029195243
GP-CP,Coverage,0.8666666666666667
GP-CP,CI_Width,1.1214632887451292
GP-CP-Extended,MAE,0.29164857429390295
GP-CP-Extended,MAPE,393.04768488966334
GP-CP-Extended,RMSE,0.35022926710855806
GP-CP-Extended,Coverage,0.8666666666666667
GP-CP-Extended,CI_Width,1.0891625781925556
