         model metric     value
         FE+AR   Bias -0.077184
         FE+AR    MAE  0.407406
         FE+AR   RMSE  0.509562
         GP-CP   Bias  0.012847
         GP-CP    MAE  0.390028
         GP-CP   RMSE  0.482301
GP-CP-Extended   Bias  0.012820
GP-CP-Extended    MAE  0.390617
GP-CP-Extended   RMSE  0.483273
