model,period,mean,lo95,hi95,truth
FE+AR,45,-0.30530520566273595,-0.6826279759439051,0.07201756461843323,-0.3176510317953902
FE+AR,46,-0.2522619045398634,-0.7450934369946711,0.24056962791494424,-0.18285647957462517
FE+AR,47,-0.20769390603009105,-0.7679082435084089,0.35252043144822676,-0.08573010295306974
FE+AR,48,-0.17024701925798244,-0.773516133098503,0.43302209458253804,0.0015020372039852726
FE+AR,49,-0.13878342708846536,-0.7706837819776476,0.4931169278007169,0.1286121132543637
FE+AR,50,-0.11234711375127644,-0.7637027975803482,0.5390085700777952,0.31170114957134754
FE+AR,51,-0.09013481646822408,-0.754882549955896,0.5746129170194478,0.5023000732145124
FE+AR,52,-0.0714716184535209,-0.7455135067901424,0.6025702698831006,0.6066435463958751
FE+AR,53,-0.05579044168475059,-0.7363172761212895,0.6247363927517884,0.5442800684934543
FE+AR,54,-0.04261481633588497,-0.7276828516264742,0.6424532189547043,0.30607552567606605
FE+AR,55,-0.03154440332457348,-0.7198003391306855,0.6567115324815387,-0.029528210450462097
FE+AR,56,-0.022242830078824934,-0.7127404596571538,0.6682547994995041,-0.3352797121048066
FE+AR,57,-0.014427469914970011,-0.7065032916977151,0.6776483518677751,-0.5046307734841308
FE+AR,58,-0.007860854475083199,-0.7010486661691945,0.685326957219028,-0.5067138106349749
FE+AR,59,-0.0023434582922704644,-0.6963152265991994,0.6916283100146585,-0.3917405031695168
GP-CP,45,-0.22866492502481117,-0.45775441907173586,0.00042456902211349123,-0.3176510317953902
GP-CP,46,-0.06366823233150543,-0.45149712417848864,0.3241606595154778,-0.18285647957462517
GP-CP,47,0.04010581756455614,-0.4810315092397359,0.5612431443688481,-0.08573010295306974
GP-CP,48,0.07667759797294771,-0.5173023022125353,0.6706574981584307,0.0015020372039852726
GP-CP,49,0.06886491319908072,-0.53888935298359,0.6766191793817514,0.1286121132543637
GP-CP,50,0.04380179919023791,-0.5427548256963635,0.6303584240768394,0.31170114957134754
GP-CP,51,0.019076184209652264,-0.5381410520459291,0.5762934204652337,0.5023000732145124
GP-CP,52,0.0013712177902431288,-0.5351124017125057,0.5378548372929921,0.6066435463958751
GP-CP,53,-0.00919715768994167,-0.5393342562256482,0.5209399408457649,0.5442800684934543
GP-CP,54,-0.014827199927420431,-0.5537752648191496,0.5241208649643088,0.30607552567606605
GP-CP,55,-0.01776661323027781,-0.5811232952539178,0.5455900687933621,-0.029528210450462097
GP-CP,56,-0.01962220894188138,-0.623283292532195,0.5840388746484323,-0.3352797121048066
GP-CP,57,-0.021361952719092248,-0.6789646312812693,0.6362407258430848,-0.5046307734841308
GP-CP,58,-0.023449758813632426,-0.7422837173586169,0.695384199731352,-0.5067138106349749
GP-CP,59,-0.02594296150706296,-0.8043307012356953,0.7524447782215693,-0.3917405031695168
GP-CP-Extended,45,-0.2282451157799268,-0.450463174881802,-0.00602705667805159,-0.3176510317953902
GP-CP-Extended,46,-0.06472693454646938,-0.4422265890396767,0.31277271994673794,-0.18285647957462517
GP-CP-Extended,47,0.03701274185965242,-0.47025142984813906,0.5442769135674439,-0.08573010295306974
GP-CP-Extended,48,0.07191490890079649,-0.5052015389065743,0.6490313567081671,0.0015020372039852726
GP-CP-Extended,49,0.06366448665770294,-0.5257828387546463,0.6531118120700522,0.1286121132543637
GP-CP-Extended,50,0.039599925014535936,-0.529439220507519,0.6086390705365908,0.31170114957134754
GP-CP-Extended,51,0.01679320833724418,-0.5253247169932785,0.5589111336677669,0.5023000732145124
GP-CP-Extended,52,0.001162190528212259,-0.5226551673847915,0.5249795484412159,0.6066435463958751
GP-CP-Extended,53,-0.007721498923462161,-0.5262439876463013,0.5108009897993769,0.5442800684934543
GP-CP-Extended,54,-0.012241207017740507,-0.5387725689009542,0.5142901548654732,0.30607552567606605
GP-CP-Extended,55,-0.014586961935104226,-0.5631575005268251,0.5339835766566167,-0.029528210450462097
GP-CP-Extended,56,-0.01622720093675617,-0.6018257473897433,0.5693713455162308,-0.3352797121048066
GP-CP-Extended,57,-0.01800547064301991,-0.654061357195909,0.6180504159098691,-0.5046307734841308
GP-CP-Extended,58,-0.020297354731800887,-0.7143652921126953,0.6737705826490934,-0.5067138106349749
GP-CP-Extended,59,-0.023093956750944278,-0.7739464463223916,0.7277585328205031,-0.3917405031695168
