model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,0.8920311292703369,0.7006788865592168,,
GP-CP,0.8965484543726187,0.7032809787567685,,
GP-CP-Extended,0.2284904129291243,0.17915754399220252,0.17542074845219277,0.13864412729657338
