model,metric,value
FE+AR,Bias,0.49566881184539824
FE+AR,MAE,1.1763904143031554
FE+AR,RMSE,1.4449365849824567
GP-CP,Bias,-0.016635299546985914
GP-CP,MAE,1.1962229441504735
GP-CP,RMSE,1.4191495247573966
GP-CP-Extended,Bias,-0.024783911047579796
GP-CP-Extended,MAE,1.1142450612669237
GP-CP-Extended,RMSE,1.3554693842375867
