model,metric,value
FE+AR,MAE,0.7689684366247472
FE+AR,MAPE,132.42228760925815
FE+AR,RMSE,1.0235508351146267
FE+AR,Coverage,0.8
FE+AR,CI_Width,3.2821945721522163
GP-CP,MAE,0.8229207886334761
GP-CP,MAPE,240.7287406405323
GP-CP,RMSE,0.984216718285336
GP-CP,Coverage,0.9333333333333333
GP-CP,CI_Width,3.3004252859580645
GP-CP-Extended,MAE,0.7278025237372419
GP-CP-Extended,MAPE,208.2529797846659
GP-CP-Extended,RMSE,0.8923137199604553
GP-CP-Extended,Coverage,0.9333333333333333
GP-CP-Extended,CI_Width,3.105929608668997
