model,metric,value
FE+AR,MAE,0.44612681349763916
FE+AR,MAPE,1264.193439581341
FE+AR,RMSE,0.4782660442938117
FE+AR,Coverage,0.7333333333333333
FE+AR,CI_Width,1.3514434026822866
GP-CP,MAE,0.3931143828421987
GP-CP,MAPE,386.2444470896009
GP-CP,RMSE,0.42961622247184755
GP-CP,Coverage,0.9333333333333333
GP-CP,CI_Width,1.1541087722888297
GP-CP-Extended,MAE,0.33026994915242386
GP-CP-Extended,MAPE,295.228925756968
GP-CP-Extended,RMSE,0.3604250695909473
GP-CP-Extended,Coverage,1.0
GP-CP-Extended,CI_Width,1.0781322625910856
