model,cohort,period,y_true,y_hat,resid
FE+AR,1,58,-3.8253128049733833,1.94061564149503,5.765928446468413
FE+AR,1,59,-4.216192287774914,1.9353872720629408,6.151579559837854
FE+AR,2,45,-1.7222456151001693,2.010594703034081,3.73284031813425
FE+AR,2,46,-2.6713354005094376,1.9887363915418554,4.660071792051293
FE+AR,2,47,-1.8071688786805882,1.9691556956419256,3.776324574322514
FE+AR,2,48,-2.5061041626201885,1.9516152899220285,4.457719452542217
FE+AR,2,49,-2.3920865089269667,1.9359025780556587,4.327989086982625
FE+AR,2,50,-2.8966065207263494,1.9218271160544864,4.818433636780836
FE+AR,2,51,-2.7661363442293583,1.9092183040154596,4.675354648244818
FE+AR,2,52,-3.2775313909016233,1.8979233183856972,5.175454709287321
FE+AR,2,53,-2.882055185615121,1.8878052596834447,4.769860445298566
FE+AR,2,54,-2.9501806785824103,1.8787414932247724,4.828922171807182
FE+AR,2,55,-2.6472663728348436,1.8706221627449973,4.517888535579841
FE+AR,2,56,-2.260828830873245,1.8633488588993614,4.124177689772607
FE+AR,2,57,-3.3211109388312696,1.8568334265046935,5.177944365335963
FE+AR,2,58,-3.0389384905097847,1.8509968960653722,4.889935386575157
FE+AR,2,59,-3.03410222929182,1.845768526633283,4.879870755925103
FE+AR,3,45,-1.969224368878381,1.871805581523411,3.8410299504017917
FE+AR,3,46,-1.522617512732408,1.8499472700311856,3.3725647827635936
FE+AR,3,47,-1.6684136094278699,1.8303665741312558,3.4987801835591257
FE+AR,3,48,-2.0802424721200956,1.8128261684113587,3.893068640531454
FE+AR,3,49,-2.276432064902043,1.7971134565449889,4.073545521447032
FE+AR,3,50,-1.963307051249329,1.7830379945438166,3.7463450457931455
FE+AR,3,51,-2.5044742073990602,1.7704291825047898,4.27490338990385
FE+AR,3,52,-2.1110285929310204,1.7591341968750274,3.8701627898060478
FE+AR,3,53,-2.4664120503499505,1.749016138172775,4.215428188522726
FE+AR,3,54,-2.873279036722081,1.7399523717141026,4.613231408436183
FE+AR,3,55,-2.3910552464221544,1.7318330412343275,4.122888287656481
FE+AR,3,56,-2.495088112282693,1.7245597373886916,4.219647849671384
FE+AR,3,57,-2.2509431146487637,1.7180443049940237,3.9689874196427875
FE+AR,3,58,-2.8350681783488447,1.7122077745547024,4.547275952903547
FE+AR,3,59,-2.9094920425443247,1.7069794051226133,4.616471447666938
FE+AR,4,45,-0.7686722405552548,1.7053542570844618,2.4740264976397164
FE+AR,4,46,-1.4626238624567325,1.6834959455922365,3.1461198080489687
FE+AR,4,47,-0.8554855044746541,1.6639152496923066,2.519400754166961
FE+AR,4,48,-1.8009792074138997,1.6463748439724095,3.4473540513863092
FE+AR,4,49,-2.047057158326412,1.6306621321060397,3.677719290432452
FE+AR,4,50,-2.25419690344935,1.6165866701048675,3.8707835735542173
FE+AR,4,51,-1.9987902210544464,1.6039778580658406,3.602768079120287
FE+AR,4,52,-2.1007471181338606,1.5926828724360782,3.693429990569939
FE+AR,4,53,-2.274739229669936,1.5825648137338257,3.8573040434037615
FE+AR,4,54,-2.8539923722860965,1.5735010472751534,4.42749341956125
FE+AR,4,55,-1.9857763534282673,1.5653817167953783,3.5511580702236456
FE+AR,4,56,-1.4635341331157143,1.5581084129497424,3.021642546065457
FE+AR,4,57,-1.4206770726034863,1.5515929805550746,2.972270053158561
FE+AR,4,58,-1.585763451061734,1.5457564501157532,3.1315199011774872
FE+AR,4,59,-2.0068449100888164,1.540528080683664,3.5473729907724803
FE+AR,5,45,-1.2501589914824176,1.5325544485707088,2.7827134400531266
FE+AR,5,46,-1.0383200122853482,1.5106961370784835,2.5490161493638315
FE+AR,5,47,-1.3341240555542577,1.4911154411785537,2.825239496732811
FE+AR,5,48,-1.50418163555998,1.4735750354586565,2.9777566710186365
FE+AR,5,49,-1.2106162553984317,1.4578623235922867,2.6684785789907184
FE+AR,5,50,-1.3055475654938231,1.4437868615911145,2.7493344270849374
FE+AR,5,51,-1.708922886073393,1.4311780495520876,3.1401009356254805
FE+AR,5,52,-1.734620053042005,1.4198830639223252,3.1545031169643303
FE+AR,5,53,-1.785492616562746,1.4097650052200728,3.195257621782819
FE+AR,5,54,-1.270381575959172,1.4007012387614004,2.671082814720572
FE+AR,5,55,-1.5671364986707528,1.3925819082816253,2.959718406952378
FE+AR,5,56,-1.1989546589049802,1.3853086044359895,2.5842632633409695
FE+AR,5,57,-0.5702637890201901,1.3787931720413216,1.9490569610615118
FE+AR,5,58,-1.5152686823436106,1.3729566416020003,2.888225323945611
FE+AR,5,59,-1.3800870531626124,1.367728272169911,2.7478153253325237
FE+AR,6,45,-0.5626824242216187,1.522409102383909,2.085091526605528
FE+AR,6,46,-1.4364942104220035,1.5005507908916838,2.9370450013136873
FE+AR,6,47,-0.987002195163394,1.480970094991754,2.467972290155148
FE+AR,6,48,-0.7088784239851378,1.4634296892718568,2.1723081132569946
FE+AR,6,49,-0.7318945663138497,1.447716977405487,2.1796115437193366
FE+AR,6,50,-0.522761438691648,1.4336415154043147,1.9564029540959629
FE+AR,6,51,-1.4418903411152495,1.4210327033652879,2.8629230444805374
FE+AR,6,52,-0.7434281692468291,1.4097377177355255,2.1531658869823547
FE+AR,6,53,-1.0650955915526845,1.399619659033273,2.4647152505859573
FE+AR,6,54,-1.2853282291571417,1.3905558925746007,2.6758841217317424
FE+AR,6,55,-0.9081927510100911,1.3824365620948256,2.2906293131049167
FE+AR,6,56,-0.5610982768072394,1.3751632582491897,1.9362615350564292
FE+AR,6,57,-0.7071017643481583,1.3686478258545218,2.07574959020268
FE+AR,6,58,-0.7325597522118653,1.3628112954152005,2.095371047627066
FE+AR,6,59,-0.6723560613203884,1.3575829259831114,2.0299389873035
FE+AR,7,45,-0.5466282024222139,1.492485783312659,2.039113985734873
FE+AR,7,46,-0.3094821590707931,1.4706274718204337,1.7801096308912268
FE+AR,7,47,-0.7715764800291227,1.451046775920504,2.2226232559496264
FE+AR,7,48,-1.3420238455890492,1.4335063702006068,2.775530215789656
FE+AR,7,49,-0.08851150598122326,1.417793658334237,1.5063051643154601
FE+AR,7,50,-0.6990528762791118,1.4037181963330647,2.1027710726121764
FE+AR,7,51,-0.5743231403214111,1.3911093842940379,1.965432524615449
FE+AR,7,52,-0.5648694408487744,1.3798143986642755,1.94468383951305
