model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,1.9798394104988775,1.500330768161812,,
GP-CP,1.988034343638836,1.5099614560763306,,
GP-CP-Extended,0.3049673202080189,0.2433536942616519,0.023280015868706757,0.01695687680799527
