model,metric,value
FE+AR,Bias,0.4536884015500639
FE+AR,MAE,0.5336570045360256
FE+AR,RMSE,0.6472172886986197
GP-CP,Bias,-0.010436003723262604
GP-CP,MAE,0.36109448034486347
GP-CP,RMSE,0.4462907929076074
GP-CP-Extended,Bias,-0.010561425415163257
GP-CP-Extended,MAE,0.36060774288987785
GP-CP-Extended,RMSE,0.4457043411263673
