model,metric,value
FE+AR,MAE,0.49126871925624677
FE+AR,MAPE,516.1836875823751
FE+AR,RMSE,0.5801464128555176
FE+AR,Coverage,0.6666666666666666
FE+AR,CI_Width,1.2794962171309583
GP-CP,MAE,0.27222927148648385
GP-CP,MAPE,294.65555434611093
GP-CP,RMSE,0.3183966915669412
GP-CP,Coverage,1.0
GP-CP,CI_Width,1.0341146105207044
GP-CP-Extended,MAE,0.2714024212633866
GP-CP-Extended,MAPE,293.20769337203865
GP-CP-Extended,RMSE,0.3176288915647171
GP-CP-Extended,Coverage,1.0
GP-CP-Extended,CI_Width,1.0470119871023948
