         model metric     value
         FE+AR   Bias  0.453688
         FE+AR    MAE  0.533657
         FE+AR   RMSE  0.647217
         GP-CP   Bias -0.010436
         GP-CP    MAE  0.361094
         GP-CP   RMSE  0.446291
GP-CP-Extended   Bias -0.010561
GP-CP-Extended    MAE  0.360608
GP-CP-Extended   RMSE  0.445704
