model,metric,value
FE+AR,MAE,0.3319816800354015
FE+AR,MAPE,854.1034376290219
FE+AR,RMSE,0.39428655870464663
FE+AR,Coverage,0.9333333333333333
FE+AR,CI_Width,1.2639023001990288
GP-CP,MAE,0.29889133408894064
GP-CP,MAPE,408.9377060916002
GP-CP,RMSE,0.3620145846629523
GP-CP,Coverage,0.8666666666666667
GP-CP,CI_Width,1.0951003018686574
GP-CP-Extended,MAE,0.29089513744878237
GP-CP-Extended,MAPE,377.3924824686795
GP-CP-Extended,RMSE,0.34989435468139773
GP-CP-Extended,Coverage,0.8666666666666667
GP-CP-Extended,CI_Width,1.0916465990723399
