model,metric,value
FE+AR,Bias,-0.0771842379766675
FE+AR,MAE,3.562334284032131
FE+AR,RMSE,4.163366968899915
GP-CP,Bias,-0.00888622488921783
GP-CP,MAE,3.5643953678000244
GP-CP,RMSE,4.147472162702844
GP-CP-Extended,Bias,0.012762064841515415
GP-CP-Extended,MAE,0.4358100818742857
GP-CP-Extended,RMSE,0.5547999370719879
