model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,2.39556822693938,1.8123478172810292,,
GP-CP,2.4088516999665917,1.8306421251951852,,
GP-CP-Extended,0.29121593953993913,0.23140253258767426,0.031682698563136165,0.02013533741264986
