model,effect_type,metric,value
FE+AR,alpha,Bias,9.714451465470119e-18
FE+AR,alpha,RMSE,0.026241514561220338
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,0.15466196934862447
FE+AR,beta,Bias,-1.3877787807814457e-17
FE+AR,beta,RMSE,0.057313080874310855
FE+AR,beta,Coverage,1.0
FE+AR,beta,CI_Width,0.27254156235477944
GP-CP,alpha,Bias,2.2204460492503132e-17
GP-CP,alpha,RMSE,0.02325032285119469
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.09854005506891043
GP-CP,beta,Bias,9.25185853854297e-18
GP-CP,beta,RMSE,0.03135565969024647
GP-CP,beta,Coverage,1.0
GP-CP,beta,CI_Width,0.16563137995712934
GP-CP-Extended,alpha,Bias,1.6653345369377347e-17
GP-CP-Extended,alpha,RMSE,0.023202602476703384
GP-CP-Extended,alpha,Coverage,1.0
GP-CP-Extended,alpha,CI_Width,0.09793107319859107
GP-CP-Extended,beta,Bias,-2.8680761469483214e-17
GP-CP-Extended,beta,RMSE,0.03140552896478111
GP-CP-Extended,beta,Coverage,1.0
GP-CP-Extended,beta,CI_Width,0.1639711522721919
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
