category,model,time_idx,tau_t,tau_t_std,tau_t_lo95,tau_t_hi95,is_post,n_active_cohorts,truth
scenD_seed1,FE+AR,0,-0.012780207974853696,0.14247814394388808,-0.2920373701048743,0.2664769541551669,False,20,0.0
scenD_seed1,FE+AR,1,-0.012780207974843426,0.14247814394381658,-0.2920373701047239,0.2664769541550371,False,20,0.0
scenD_seed1,FE+AR,2,-0.01278020797483682,0.14247814394381675,-0.29203737010471764,0.266476954155044,False,20,0.0
scenD_seed1,FE+AR,3,-0.012780207974844715,0.14247814394381686,-0.29203737010472575,0.26647695415503636,False,20,0.0
scenD_seed1,FE+AR,4,-0.012780207974863256,0.14247814394381672,-0.292037370104744,0.26647695415501754,False,20,0.0
scenD_seed1,FE+AR,5,-0.012780207974866143,0.14247814394381675,-0.29203737010474695,0.2664769541550147,False,20,0.0
scenD_seed1,FE+AR,6,-0.01278020797485906,0.1424781439438168,-0.29203737010474,0.2664769541550219,False,20,0.0
scenD_seed1,FE+AR,7,-0.01278020797484738,0.14247814394381655,-0.2920373701047278,0.2664769541550331,False,20,0.0
scenD_seed1,FE+AR,8,-0.01278020797484115,0.1424781439438167,-0.29203737010472186,0.2664769541550396,False,20,0.0
scenD_seed1,FE+AR,9,-0.012780207974848534,0.14247814394381675,-0.29203737010472935,0.2664769541550323,False,20,0.0
scenD_seed1,FE+AR,10,-0.012780207974853863,0.14247814394381658,-0.29203737010473435,0.26647695415502665,False,20,0.0
scenD_seed1,FE+AR,11,-0.012780207974853153,0.14247814394381678,-0.292037370104734,0.26647695415502776,False,20,0.0
scenD_seed1,FE+AR,12,-0.012780207974851266,0.14247814394381672,-0.292037370104732,0.26647695415502953,False,20,0.0
scenD_seed1,FE+AR,13,-0.012780207974852043,0.14247814394381658,-0.2920373701047325,0.2664769541550285,False,20,0.0
scenD_seed1,FE+AR,14,-0.012780207974849378,0.1424781439438168,-0.2920373701047303,0.2664769541550316,False,20,0.0
scenD_seed1,FE+AR,15,-0.01278020797485192,0.14247814394381655,-0.29203737010473235,0.26647695415502853,False,20,0.0
scenD_seed1,FE+AR,16,-0.012780207974849656,0.1424781439438168,-0.2920373701047306,0.2664769541550313,False,20,0.0
scenD_seed1,FE+AR,17,-0.012780207974851621,0.1424781439438167,-0.29203737010473235,0.2664769541550291,False,20,0.0
scenD_seed1,FE+AR,18,-0.012780207974850489,0.1424781439438166,-0.292037370104731,0.2664769541550301,False,20,0.0
scenD_seed1,FE+AR,19,-0.012780207974848756,0.14247814394381658,-0.29203737010472924,0.26647695415503175,False,20,0.0
scenD_seed1,FE+AR,20,-0.012780207974849845,0.1424781439438167,-0.2920373701047306,0.26647695415503087,False,20,0.0
scenD_seed1,FE+AR,21,-0.012780207974849144,0.14247814394381675,-0.29203737010472997,0.2664769541550317,False,20,0.0
scenD_seed1,FE+AR,22,-0.012780207974849056,0.1424781439438166,-0.29203737010472963,0.2664769541550315,False,20,0.0
scenD_seed1,FE+AR,23,-0.012780207974849,0.1424781439438167,-0.29203737010472974,0.2664769541550317,False,20,0.0
scenD_seed1,FE+AR,24,-0.012780207974849689,0.14247814394381686,-0.29203737010473074,0.26647695415503136,False,20,0.0
scenD_seed1,FE+AR,25,-0.01278020797485031,0.1424781439438167,-0.292037370104731,0.2664769541550304,False,20,0.0
scenD_seed1,FE+AR,26,-0.012780207974851032,0.1424781439438167,-0.29203737010473174,0.2664769541550297,False,20,0.0
scenD_seed1,FE+AR,27,-0.012780207974849089,0.1424781439438166,-0.29203737010472963,0.2664769541550315,False,20,0.0
scenD_seed1,FE+AR,28,-0.012780207974851032,0.14247814394381678,-0.2920373701047319,0.26647695415502987,False,20,0.0
scenD_seed1,FE+AR,29,-0.012780207974848957,0.1424781439438167,-0.2920373701047297,0.26647695415503175,False,20,0.0
scenD_seed1,FE+AR,30,-0.012780207974846091,0.14247814394381678,-0.29203737010472697,0.2664769541550348,False,20,0.0
scenD_seed1,FE+AR,31,-0.012780207974848756,0.14247814394381675,-0.2920373701047296,0.2664769541550321,False,20,0.0
scenD_seed1,FE+AR,32,-0.012780207974850155,0.14247814394381686,-0.2920373701047312,0.2664769541550309,False,20,0.0
scenD_seed1,FE+AR,33,-0.012780207974850489,0.14247814394381683,-0.29203737010473146,0.26647695415503053,False,20,0.0
scenD_seed1,FE+AR,34,-0.012780207974849633,0.14247814394381678,-0.2920373701047305,0.26647695415503125,False,20,0.0
scenD_seed1,FE+AR,35,-0.0127802079748506,0.1424781439438167,-0.2920373701047313,0.26647695415503014,False,20,0.0
scenD_seed1,FE+AR,36,-0.012780207974848367,0.14247814394381675,-0.2920373701047292,0.2664769541550325,False,20,0.0
scenD_seed1,FE+AR,37,-0.012780207974850088,0.14247814394381683,-0.2920373701047311,0.2664769541550309,False,20,0.0
scenD_seed1,FE+AR,38,-0.0127802079748492,0.14247814394381675,-0.29203737010473,0.26647695415503164,False,20,0.0
scenD_seed1,FE+AR,39,-0.01278020797484949,0.14247814394381675,-0.2920373701047303,0.26647695415503136,False,20,0.0
scenD_seed1,FE+AR,40,-0.012780207974849644,0.14247814394381675,-0.29203737010473046,0.2664769541550312,False,20,0.0
scenD_seed1,FE+AR,41,-0.012780207974848367,0.1424781439438167,-0.2920373701047291,0.26647695415503236,False,20,0.0
scenD_seed1,FE+AR,42,-0.012780207974848468,0.14247814394381678,-0.29203737010472935,0.2664769541550324,False,20,0.0
scenD_seed1,FE+AR,43,-0.012780207974848811,0.14247814394381686,-0.29203737010472985,0.26647695415503225,False,20,0.0
scenD_seed1,FE+AR,44,-0.012780207974851243,0.1424781439438168,-0.2920373701047322,0.2664769541550297,False,20,0.0
scenD_seed1,FE+AR,45,0.1353091551673077,0.1264907332814353,-0.1126126820643055,0.3832309923989209,True,20,0.0
scenD_seed1,FE+AR,46,0.32153286215388677,0.12976559036733598,0.06719230503390827,0.5758734192738653,True,20,0.0
scenD_seed1,FE+AR,47,0.44759611885469985,0.132282811303218,0.18832180870039256,0.7068704290090071,True,20,0.0
scenD_seed1,FE+AR,48,0.4374137992011378,0.13422827654072755,0.17432637718131183,0.7005012212209638,True,20,0.0
scenD_seed1,FE+AR,49,0.39224513159194363,0.1357378884958601,0.12619887014005782,0.6582913930438294,True,20,0.0
scenD_seed1,FE+AR,50,0.4878395538868139,0.13691279680957008,0.21949047214005651,0.7561886356335712,True,20,0.0
scenD_seed1,FE+AR,51,0.1340038022995155,0.13782927326254216,-0.13614157329506713,0.4041491778940981,True,20,0.0
scenD_seed1,FE+AR,52,-0.12183163531171895,0.1385453905479701,-0.39338060078574033,0.14971733016230246,True,20,0.0
scenD_seed1,FE+AR,53,-0.27333814527967315,0.13910568835847986,-0.5459852944622936,-0.000690996097052643,True,20,0.0
scenD_seed1,FE+AR,54,-0.47917205525168083,0.1395445168634603,-0.752679308304063,-0.2056648021992986,True,20,0.0
scenD_seed1,FE+AR,55,-0.5974420139865326,0.13988848040756247,-0.871623435585355,-0.3232605923877102,True,20,0.0
scenD_seed1,FE+AR,56,-0.596890543065242,0.1401582515567908,-0.871600716116552,-0.32218037001393207,True,20,0.0
scenD_seed1,FE+AR,57,-0.5975754876059285,0.14036993428035197,-0.8727005587954184,-0.3224504164164386,True,20,0.0
scenD_seed1,FE+AR,58,-0.3963944136925694,0.1405360982116549,-0.671845166187413,-0.12094366119772582,True,20,0.0
scenD_seed1,FE+AR,59,-0.35396047664017816,0.14066656930301055,-0.6296669524740788,-0.07825400080627748,True,20,0.0
scenD_seed1,GP-CP,0,0.04692957700802132,0.07571793722241199,-0.10147757994790617,0.1953367339639488,False,20,0.0
scenD_seed1,GP-CP,1,0.043068495565684164,0.06723003829126173,-0.08870237948518882,0.17483937061655713,False,20,0.0
scenD_seed1,GP-CP,2,0.03529952039938056,0.06284909863373832,-0.08788471292274655,0.15848375372150766,False,20,0.0
scenD_seed1,GP-CP,3,0.02596095924019175,0.06105862000167733,-0.09371393596309582,0.14563585444347932,False,20,0.0
