model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,1.9050068841722634,1.442904290489415,,
GP-CP,1.9114673023029864,1.4512537832879266,,
GP-CP-Extended,0.30077695226849605,0.23940037113767954,0.01918965248739948,0.013655844583829053
