model,cohort,period,y_true,y_hat,resid
FE+AR,0,45,-2.23316284225112,-2.216358481644129,0.016804360606990976
FE+AR,0,46,-2.2722392317167017,-2.0934603069628253,0.17877892475387647
FE+AR,0,47,-1.696275700851647,-1.9860767952148828,-0.28980109436323587
FE+AR,0,48,-0.4422873094424799,-1.8922493756846661,-1.4499620662421862
FE+AR,0,49,-0.4601463242736895,-1.8102667275816349,-1.3501204033079452
FE+AR,0,50,0.04548888954615285,-1.7386335672151074,-1.7841224567612604
FE+AR,0,51,-0.07051335931175962,-1.6760433754754134,-1.6055300161636539
FE+AR,0,52,0.001870947122339664,-1.621354568197237,-1.6232255153195767
FE+AR,0,53,-0.4779330838619193,-1.573569674775786,-1.0956365909138666
FE+AR,0,54,-0.6541901586922465,-1.5318171452740013,-0.8776269865817548
FE+AR,0,55,-1.1873214927264946,-1.495335454200169,-0.3080139614736743
FE+AR,0,56,-0.7956345162616938,-1.4634592110242997,-0.6678246947626059
FE+AR,0,57,-0.821445130432757,-1.4356070241026258,-0.6141618936698687
FE+AR,0,58,-0.5298306337650127,-1.4112708966600063,-0.8814402628949936
FE+AR,0,59,-0.5924635343095649,-1.3900069614232897,-0.7975434271137248
FE+AR,1,45,-2.9870158013501578,-2.355248822427696,0.6317669789224616
FE+AR,1,46,-2.4651277570525187,-2.2323506477463924,0.23277710930612638
FE+AR,1,47,-1.7623013570716617,-2.1249671359984497,-0.362665778926788
FE+AR,1,48,-0.6643778044431474,-2.0311397164682328,-1.3667619120250853
FE+AR,1,49,-0.06695424480251808,-1.9491570683652015,-1.8822028235626835
FE+AR,1,50,0.006577926476037978,-1.8775239079986745,-1.8841018344747125
FE+AR,1,51,0.16399826686252322,-1.81493371625898,-1.9789319831215033
FE+AR,1,52,-0.3641743365095449,-1.760244908980804,-1.3960705724712592
FE+AR,1,53,-0.4497097350646625,-1.7124600155593528,-1.2627502804946902
FE+AR,1,54,-1.1068198432321392,-1.6707074860575681,-0.5638876428254289
FE+AR,1,55,-1.2028152801955923,-1.634225794983736,-0.43141051478814374
FE+AR,1,56,-1.5936623617024412,-1.6023495518078668,-0.008687190105425513
FE+AR,1,57,-0.9946584046265108,-1.5744973648861924,-0.5798389602596816
FE+AR,1,58,-0.7571100177105125,-1.5501612374435734,-0.7930512197330609
FE+AR,1,59,-0.2956473036737592,-1.5288973022068566,-1.2332499985330974
FE+AR,2,45,-2.0859326455200993,-1.8993157920855865,0.18661685343451273
FE+AR,2,46,-2.217485431512285,-1.776417617404283,0.441067814108002
FE+AR,2,47,-1.418224589872679,-1.6690341056563402,-0.2508095157836612
FE+AR,2,48,-0.983286185880206,-1.5752066861261236,-0.5919205002459176
FE+AR,2,49,0.17692858351755875,-1.4932240380230923,-1.670152621540651
FE+AR,2,50,0.44866659418074456,-1.4215908776565649,-1.8702574718373095
FE+AR,2,51,0.18446466937922584,-1.3590006859168708,-1.5434653552960966
FE+AR,2,52,0.3561641943259872,-1.3043118786386945,-1.6604760729646817
FE+AR,2,53,-0.22464083319016104,-1.2565269852172434,-1.0318861520270823
FE+AR,2,54,-0.6738096032876961,-1.2147744557154587,-0.5409648524277626
FE+AR,2,55,-1.5760734560978,-1.1782927646416264,0.3977806914561737
FE+AR,2,56,-0.971709764241717,-1.1464165214657571,-0.17470675722404017
FE+AR,2,57,-0.5645449094578676,-1.1185643345440832,-0.5540194250862156
FE+AR,2,58,0.00220836876234555,-1.0942282071014637,-1.0964365758638093
FE+AR,2,59,0.16647912951598084,-1.0729642718647472,-1.239443401380728
FE+AR,3,45,-0.9119528510709819,-1.245640029679634,-0.33368717860865205
FE+AR,3,46,-0.9780873278259792,-1.1227418549983303,-0.14465452717235117
FE+AR,3,47,-0.30255348958067685,-1.0153583432503877,-0.7128048536697108
FE+AR,3,48,0.18001856094107277,-0.9215309237201708,-1.1015494846612435
FE+AR,3,49,0.601814172666754,-0.8395482756171395,-1.4413624482838934
FE+AR,3,50,0.21013193005023512,-0.7679151152506123,-0.9780470453008474
FE+AR,3,51,0.9416212923532444,-0.705324923510918,-1.6469462158641623
FE+AR,3,52,0.8370521937984765,-0.6506361162327419,-1.4876883100312184
FE+AR,3,53,0.4796404673071197,-0.6028512228112907,-1.0824916901184103
FE+AR,3,54,-0.005604730914003889,-0.5610986933095061,-0.5554939623955022
FE+AR,3,55,-0.6428377830996044,-0.5246170022356738,0.11822078086393062
FE+AR,3,56,0.2279561840992928,-0.4927407590598046,-0.7206969431590974
FE+AR,3,57,0.1033607009326203,-0.46488857213813045,-0.5682492730707508
FE+AR,3,58,0.7576521039440575,-0.4405524446955112,-1.1982045486395687
FE+AR,3,59,0.33480905597617694,-0.41928850945879453,-0.7540975654349715
FE+AR,4,45,-0.7696547358363461,-0.9872566714497628,-0.21760193561341667
FE+AR,4,46,-1.297793684924066,-0.8643584967684592,0.4334351881556069
FE+AR,4,47,-0.7183340953814474,-0.7569749850205165,-0.03864088963906909
FE+AR,4,48,0.5740728929542163,-0.6631475654902997,-1.237220458444516
FE+AR,4,49,0.8238501953387039,-0.5811649173872685,-1.4050151127259722
FE+AR,4,50,1.5420430099787372,-0.5095317570207413,-2.0515747669994786
FE+AR,4,51,0.9982176481666629,-0.446941565281047,-1.44515921344771
FE+AR,4,52,1.0438105794703907,-0.39225275800287085,-1.4360633374732616
FE+AR,4,53,0.8708448632817389,-0.3444678645814196,-1.2153127278631586
FE+AR,4,54,0.44977999184427075,-0.30271533507963505,-0.7524953269239059
FE+AR,4,55,-0.04861402723405374,-0.26623364400580274,-0.217619616771749
FE+AR,4,56,0.3208807432991312,-0.2343574008299335,-0.5552381441290647
FE+AR,4,57,0.7542264054035833,-0.20650521390825938,-0.9607316193118427
FE+AR,4,58,1.2896892215624134,-0.18216908646564012,-1.4718583080280534
FE+AR,4,59,1.1138164038549074,-0.16090515122892346,-1.274721555083831
FE+AR,5,45,-1.2092229678271502,-1.0359615988528077,0.17326136897434252
FE+AR,5,46,-0.8619409448593234,-0.9130634241715041,-0.051122479312180724
FE+AR,5,47,-0.5743478819306308,-0.8056799124235614,-0.2313320304929306
FE+AR,5,48,0.49228470509478994,-0.7118524928933446,-1.2041371979881346
FE+AR,5,49,1.3449964027522734,-0.6298698447903134,-1.9748662475425869
FE+AR,5,50,0.8143086435602469,-0.5582366844237862,-1.372545327984033
FE+AR,5,51,0.7741646479486375,-0.4956464926840919,-1.2698111406327293
FE+AR,5,52,1.4099700706668004,-0.44095768540591573,-1.850927756072716
FE+AR,5,53,1.038228336317982,-0.3931727919844645,-1.4314011283024466
FE+AR,5,54,0.011834054888397005,-0.35142026248267993,-0.36325431737107694
FE+AR,5,55,0.027094889244286186,-0.3149385714088476,-0.3420334606531338
FE+AR,5,56,0.35079829384352423,-0.2830623282329784,-0.6338606220765026
FE+AR,5,57,0.24680817174250064,-0.25521014131130426,-0.502018313053805
FE+AR,5,58,0.541892942665945,-0.230874013868685,-0.77276695653463
FE+AR,5,59,1.2966852812946699,-0.20961007863196834,-1.5062953599266382
FE+AR,6,45,-1.352627645181429,-1.372806456468729,-0.020178811287300036
FE+AR,6,46,-1.0114634838781984,-1.2499082817874254,-0.238444797909227
FE+AR,6,47,-0.3077962306850488,-1.1425247700394827,-0.8347285393544339
FE+AR,6,48,0.11396203226804173,-1.0486973505092658,-1.1626593827773075
FE+AR,6,49,0.5536366771243832,-0.9667147024062347,-1.5203513795306178
FE+AR,6,50,0.8996538054005615,-0.8950815420397075,-1.794735347440269
FE+AR,6,51,0.5130295302695107,-0.8324913503000132,-1.345520880569524
FE+AR,6,52,0.4267655614304518,-0.777802543021837,-1.204568104452289
FE+AR,6,53,0.23721510456221812,-0.7300176496003858,-0.967232754162604
FE+AR,6,54,-0.10552504239047023,-0.6882651200986012,-0.582740077708131
FE+AR,6,55,-0.15851523784003874,-0.6517834290247689,-0.4932681911847302
FE+AR,6,56,-0.03404971226923037,-0.6199071858488997,-0.5858574735796693
FE+AR,6,57,-0.24991145979797588,-0.5920549989272256,-0.34214353912924966
FE+AR,6,58,-0.16118298423356991,-0.5677188714846063,-0.4065358872510364
FE+AR,6,59,0.9751020950371038,-0.5464549362478897,-1.5215570312849933
FE+AR,7,45,-1.7744941693304364,-1.2204063677458508,0.5540878015845856
FE+AR,7,46,-0.8273923144844679,-1.0975081930645472,-0.27011587858007924
FE+AR,7,47,-1.3032874097041183,-0.9901246813166045,0.3131627283875138
FE+AR,7,48,0.10453573746060535,-0.8962972617863878,-1.000832999246993
FE+AR,7,49,1.316436730700659,-0.8143146136833566,-2.1307513443840156
FE+AR,7,50,1.101194719103876,-0.7426814533168293,-1.8438761724207053
FE+AR,7,51,1.1523460318847816,-0.6800912615771351,-1.8324372934619166
FE+AR,7,52,0.8101549837949514,-0.6254024542989589,-1.4355574380939102
FE+AR,7,53,0.21967721939030466,-0.5776175608775076,-0.7972947802678123
FE+AR,7,54,-0.38572199168552534,-0.535865031375723,-0.1501430396901977
FE+AR,7,55,-0.40233394259446237,-0.49938334030189074,-0.09704939770742838
FE+AR,7,56,0.09037211903102738,-0.4675070971260215,-0.5578792161570489
FE+AR,7,57,-0.3377431270460048,-0.4396549102043474,-0.1019117831583426
FE+AR,7,58,0.4053707948995955,-0.4153187827617281,-0.8206895776613237
FE+AR,7,59,0.9966454411539369,-0.39405484752501146,-1.3907002886789483
FE+AR,8,45,-0.5396880059062404,-0.7837292683016709,-0.24404126239543045
FE+AR,8,46,-1.3222646031166183,-0.6608310936203673,0.661433509496251
FE+AR,8,47,0.38998482084311903,-0.5534475818724246,-0.9434324027155436
FE+AR,8,48,0.9773235288859028,-0.4596201623422078,-1.4369436912281106
FE+AR,8,49,1.5706396401279297,-0.3776375142391766,-1.9482771543671062
FE+AR,8,50,1.5338036432463773,-0.30600435387264935,-1.8398079971190267
FE+AR,8,51,1.947431384971574,-0.24341416213295508,-2.190845547104529
FE+AR,8,52,1.0602814263582523,-0.18872535485477893,-1.2490067812130312
FE+AR,8,53,0.7322331014902785,-0.14094046143332767,-0.8731735629236062
FE+AR,8,54,0.5416723107527717,-0.09918793193154313,-0.6408602426843149
FE+AR,8,55,0.21623023454312956,-0.06270624085771082,-0.2789364754008404
FE+AR,8,56,-0.390871908663211,-0.03082999768184158,0.3600419109813694
FE+AR,8,57,0.23813433759372798,-0.002977810760167454,-0.24111214835389544
FE+AR,8,58,1.4377784297982095,0.021358316682451806,-1.4164201131157577
FE+AR,8,59,1.608551554745354,0.04262225191916846,-1.5659293028261856
FE+AR,9,45,-1.20095705341021,-0.8034042578506253,0.3975527955595848
FE+AR,9,46,-0.6760274210271984,-0.6805060831693217,-0.004478662142123335
FE+AR,9,47,-0.3533102659123333,-0.573122571421379,-0.21981230550904574
FE+AR,9,48,0.5788011768264666,-0.47929515189116223,-1.0580963287176288
FE+AR,9,49,1.6325667372387591,-0.397312503788131,-2.02987924102689
FE+AR,9,50,1.5676722278747204,-0.32567934342160376,-1.893351571296324
FE+AR,9,51,1.5742893147827277,-0.2630891516819095,-1.8373784664646373
FE+AR,9,52,1.3127052374834676,-0.20840034440373334,-1.521105581887201
FE+AR,9,53,1.405183066677732,-0.16061545098228208,-1.5657985176600142
FE+AR,9,54,0.037367164106183626,-0.11886292148049754,-0.15623008558668117
FE+AR,9,55,-0.1905727010964262,-0.08238123040666523,0.10819147068976098
FE+AR,9,56,0.41666976393994903,-0.050504987230795995,-0.46717475117074503
FE+AR,9,57,0.6066697386777131,-0.022652800309121868,-0.629322538986835
FE+AR,9,58,1.4417977844414798,0.001683327133497392,-1.4401144573079825
FE+AR,9,59,0.7949351004285068,0.02294726237021405,-0.7719878380582927
FE+AR,10,45,-1.4032090137438498,-1.288257784245117,0.11495122949873271
FE+AR,10,46,-0.7974001911867528,-1.1653596095638137,-0.3679594183770609
FE+AR,10,47,-0.8184054360608012,-1.057976097815871,-0.2395706617550698
FE+AR,10,48,0.27574711951667435,-0.9641486782856541,-1.2398957978023284
FE+AR,10,49,0.7198016551053432,-0.8821660301826229,-1.601967685287966
FE+AR,10,50,1.4149450742015421,-0.8105328698160956,-2.225477944017638
FE+AR,10,51,0.7371037689927709,-0.7479426780764014,-1.4850464470691722
FE+AR,10,52,0.6975206655744812,-0.6932538707982252,-1.3907745363727064
FE+AR,10,53,0.3976415997318103,-0.6454689773767739,-1.0431105771085842
FE+AR,10,54,0.02223917588009948,-0.6037164478749895,-0.625955623755089
FE+AR,10,55,-0.7376970102787257,-0.5672347568011571,0.1704622534775686
FE+AR,10,56,-0.3114862579987286,-0.5353585136252879,-0.22387225562655927
FE+AR,10,57,-0.32352990347382676,-0.5075063267036137,-0.18397642322978697
FE+AR,10,58,0.49835349741720053,-0.48317019926099447,-0.9815236966781951
FE+AR,10,59,1.1259705624979675,-0.4619062640242778,-1.5878768265222454
FE+AR,11,45,-2.125730288171593,-1.7592104477767174,0.36651984039487573
FE+AR,11,46,-1.974808342771127,-1.6363122730954136,0.33849606967571333
FE+AR,11,47,-1.4594085878232108,-1.528928761347471,-0.0695201735242601
FE+AR,11,48,0.14846204735283186,-1.4351013418172542,-1.5835633891700862
FE+AR,11,49,0.10587415803274378,-1.353118693714223,-1.4589928517469668
FE+AR,11,50,0.9419607852908098,-1.2814855333476958,-2.223446318638506
FE+AR,11,51,0.48020001769496606,-1.2188953416080015,-1.6990953593029676
FE+AR,11,52,0.3277014144193717,-1.1642065343298253,-1.491907948749197
FE+AR,11,53,0.005156291792367915,-1.116421640908374,-1.121577932700742
FE+AR,11,54,-0.218242362390628,-1.0746691114065896,-0.8564267490159616
FE+AR,11,55,-1.159015240841236,-1.0381874203327572,0.12082782050847873
FE+AR,11,56,-0.6373842094674884,-1.006311177156888,-0.3689269676893996
FE+AR,11,57,-0.5530565683103147,-0.9784589902352139,-0.4254024219248992
FE+AR,11,58,-0.47935162390020863,-0.9541228627925946,-0.474771238892386
FE+AR,11,59,0.3614970311351174,-0.932858927555878,-1.2943559586909954
FE+AR,12,45,-1.9047821147222046,-1.8261523314445776,0.07862978327762704
FE+AR,12,46,-1.6158363744672246,-1.7032541567632737,-0.08741778229604913
FE+AR,12,47,-1.0311706686288384,-1.595870645015331,-0.5646999763864926
FE+AR,12,48,-0.015169479607376801,-1.5020432254851144,-1.4868737458777375
FE+AR,12,49,-0.18154869101257615,-1.4200605773820831,-1.238511886369507
FE+AR,12,50,-0.036988787314769955,-1.348427417015556,-1.311438629700786
FE+AR,12,51,0.8348807936726257,-1.2858372252758616,-2.1207180189484873
FE+AR,12,52,0.3634280474596496,-1.2311484179976855,-1.5945764654573351
FE+AR,12,53,-0.0928505781891667,-1.1833635245762342,-1.0905129463870675
FE+AR,12,54,-0.6020449271857631,-1.1416109950744497,-0.5395660678886867
FE+AR,12,55,-1.530857804495997,-1.1051293040006174,0.4257285004953797
FE+AR,12,56,-0.7469311118046974,-1.0732530608247481,-0.32632194902005074
FE+AR,12,57,-0.6559686687281998,-1.045400873903074,-0.3894322051748742
FE+AR,12,58,0.08164735783433949,-1.0210647464604548,-1.1027121042947943
FE+AR,12,59,0.43165217634740227,-0.9998008112237381,-1.4314529875711404
FE+AR,13,45,-1.2461369297541922,-1.3222249779928439,-0.07608804823865167
FE+AR,13,46,-1.4256364123747332,-1.1993268033115403,0.22630960906319286
FE+AR,13,47,-0.49873451171978517,-1.0919432915635976,-0.5932087798438124
FE+AR,13,48,0.4577003227117321,-0.9981158720333808,-1.455816194745113
FE+AR,13,49,0.7213661437870866,-0.9161332239303496,-1.637499367717436
FE+AR,13,50,0.8195504550836746,-0.8445000635638223,-1.664050518647497
FE+AR,13,51,0.4219086848815665,-0.7819098718241281,-1.2038185567056945
FE+AR,13,52,1.6909750484851496,-0.7272210645459519,-2.4181961130311014
FE+AR,13,53,0.4188260781467578,-0.6794361711245007,-1.0982622492712586
FE+AR,13,54,-0.2638821114859841,-0.6376836416227161,-0.37380153013673195
