model,effect_type,index,mean,lo95,hi95,truth
FE+AR,alpha,0,-1.0720580814875171,-1.145027556945476,-0.9990886060295583,-1.0688826676894463
FE+AR,alpha,1,-1.2154544132896545,-1.288423888747599,-1.1424849378317101,-1.1829402823087718
FE+AR,alpha,2,-0.7875212709544337,-0.860490746412378,-0.7145517954964894,-0.6805200658138584
FE+AR,alpha,3,-0.110367509834018,-0.18333698529196218,-0.037398034376073794,-0.09730944903801025
FE+AR,alpha,4,0.16865025770838826,0.0956807822504442,0.24161973316633234,0.18917906350663788
FE+AR,alpha,5,0.11140021604981687,0.03843074059187289,0.18436969150776084,0.023800877931363207
FE+AR,alpha,6,-0.23065445442190413,-0.30362392987984804,-0.15768497896396022,-0.2620141773741471
FE+AR,alpha,7,-0.10256325766708907,-0.1755327331250329,-0.029593782209145242,-0.08809258831029088
FE+AR,alpha,8,0.3722025514676618,0.29923307600971805,0.44517202692560554,0.35602506250465904
FE+AR,alpha,9,0.3398888088952875,0.26691933343734386,0.41285828435323113,0.3552157790545979
FE+AR,alpha,10,-0.1479212453148525,-0.2208907207727961,-0.07495176985690895,-0.1645718969037982
FE+AR,alpha,11,-0.6300314226991143,-0.7030008981570578,-0.5570619472411708,-0.6765529150870653
FE+AR,alpha,12,-0.6880110913314188,-0.7609805667893622,-0.6150416158734754,-0.7027737700847669
FE+AR,alpha,13,-0.1579312959541065,-0.23090077141204982,-0.08496182049616316,-0.14892553414071763
FE+AR,alpha,14,0.5304517697745745,0.4574822943166313,0.6034212452325177,0.5722838492876288
FE+AR,alpha,15,1.1108849128379796,1.0379154373800366,1.1838543882959227,1.0431546764170965
FE+AR,alpha,16,1.1874802167035272,1.1145107412455841,1.2604496921614703,1.1954580554167809
FE+AR,alpha,17,1.067767878535432,0.9947984030774891,1.1407373539933752,1.0717119348623294
FE+AR,alpha,18,0.5582280765202772,0.48525860106233426,0.63119755197822,0.5627525434050689
FE+AR,alpha,19,-0.30444064553883876,-0.37741012099678156,-0.23147117008089596,-0.2969984956352889
FE+AR,beta,0,-0.27171022380618465,-0.40029525947651723,-0.14312518813585207,-0.33187331362407924
FE+AR,beta,1,-0.8363072523929775,-0.9648922880631795,-0.7077222167227756,-0.908039046370511
FE+AR,beta,2,-1.3686404876316343,-1.4972255233018366,-1.240055451961432,-1.3182806016647373
FE+AR,beta,3,-1.4500991576412119,-1.5786841933114142,-1.3215141219710096,-1.3678098684007336
FE+AR,beta,4,-0.8091338870342775,-0.9377189227044795,-0.6805488513640754,-0.8818257829621512
