model,effect_type,metric,value,task
FE+AR,alpha,Bias,-1.52655665885959e-16,fit
FE+AR,alpha,RMSE,0.0398148577514039,fit
FE+AR,alpha,Coverage,0.9,fit
FE+AR,alpha,CI_Width,0.1459389509158886,fit
FE+AR,beta,Bias,-7.81782046506881e-17,fit
FE+AR,beta,RMSE,0.0687272923667606,fit
FE+AR,beta,Coverage,0.9333333333333332,fit
FE+AR,beta,CI_Width,0.2571700713404084,fit
GP-CP,alpha,Bias,-1.9984014443252816e-16,fit
GP-CP,alpha,RMSE,0.0336607328690015,fit
GP-CP,alpha,Coverage,0.95,fit
GP-CP,alpha,CI_Width,0.1235829199499824,fit
GP-CP,beta,Bias,-3.23815048849004e-17,fit
GP-CP,beta,RMSE,0.0555107927956619,fit
GP-CP,beta,Coverage,0.9333333333333332,fit
GP-CP,beta,CI_Width,0.2037939312979912,fit
GP-CP-Extended,alpha,Bias,-1.249000902703301e-16,fit
GP-CP-Extended,alpha,RMSE,0.0335704882091218,fit
GP-CP-Extended,alpha,Coverage,0.95,fit
GP-CP-Extended,alpha,CI_Width,0.1085241720150015,fit
GP-CP-Extended,beta,Bias,-1.098658201451978e-16,fit
GP-CP-Extended,beta,RMSE,0.05675109505439,fit
GP-CP-Extended,beta,Coverage,0.8833333333333333,fit
GP-CP-Extended,beta,CI_Width,0.1785842909611119,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.915066592268107,extrapolation
FE+AR,beta,MAPE,214.69298078144067,extrapolation
FE+AR,beta,RMSE,1.0956676446491769,extrapolation
FE+AR,beta,Coverage,0.8,extrapolation
FE+AR,beta,CI_Width,2.914952861755818,extrapolation
GP-CP,beta,MAE,0.4411026602290869,extrapolation
GP-CP,beta,MAPE,166.62231846940486,extrapolation
GP-CP,beta,RMSE,0.4871550762883695,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,2.45428549289384,extrapolation
GP-CP-Extended,beta,MAE,0.4329518949458469,extrapolation
GP-CP-Extended,beta,MAPE,167.74367369441077,extrapolation
GP-CP-Extended,beta,RMSE,0.4809154543316074,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,2.4017716961337277,extrapolation
