         model metric     value
         FE+AR   Bias -0.864241
         FE+AR    MAE  0.928610
         FE+AR   RMSE  1.113056
         GP-CP   Bias -0.008097
         GP-CP    MAE  0.466686
         GP-CP   RMSE  0.562454
GP-CP-Extended   Bias -0.006742
GP-CP-Extended    MAE  0.460805
GP-CP-Extended   RMSE  0.557911
