model,metric,mean,std
FE+AR,Bias,0.09086879965505318,0.2591704297900195
FE+AR,MAE,3.1679610907605493,0.3028308340130861
FE+AR,RMSE,3.705426966570644,0.3526372518186904
GP-CP,Bias,0.005765854676846554,0.02430696393584985
GP-CP,MAE,3.160003944939781,0.3045157939443606
GP-CP,RMSE,3.685775231255863,0.3473188588604042
GP-CP-Extended,Bias,0.0019004515272585966,0.013706825157809206
GP-CP-Extended,MAE,0.3960862709766005,0.048239429355090006
GP-CP-Extended,RMSE,0.494110105961567,0.06290967064614662
