model,metric,mean,std
FE+AR,CI_Width,3.3283865144411804,0.3988977547439853
FE+AR,Coverage,0.8800000000000001,0.0869226987360353
FE+AR,MAE,0.8680507072192636,0.159017505487463
FE+AR,MAPE,709.8551902460297,721.3922032366744
FE+AR,RMSE,1.0502418649017933,0.16513280542477143
GP-CP,CI_Width,2.9082827388124963,0.32850944425394696
GP-CP,Coverage,0.9733333333333334,0.059628479399994376
GP-CP,MAE,0.5149954900599754,0.1280510257135709
GP-CP,MAPE,237.25181246411276,126.17631950477572
GP-CP,RMSE,0.6283488434204128,0.17496285043857532
GP-CP-Extended,CI_Width,2.88154616118564,0.34033178280079057
GP-CP-Extended,Coverage,0.9733333333333334,0.059628479399994376
GP-CP-Extended,MAE,0.5083492022533285,0.12724078373848857
GP-CP-Extended,MAPE,232.75696910938967,123.39104542670866
GP-CP-Extended,RMSE,0.6232065986329369,0.17335559716728843
