model,metric,mean,std
FE+AR,Bias,0.09086879965505401,0.2591704297900191
FE+AR,MAE,0.45455339927027494,0.05127626605400979
FE+AR,RMSE,0.5474913183168817,0.06093685901399301
GP-CP,Bias,0.0019726785639360145,0.013737533180761749
GP-CP,MAE,0.37230283378596946,0.04067038760408347
GP-CP,RMSE,0.4579097268431303,0.0447121754879234
GP-CP-Extended,Bias,0.0021436140117631003,0.013712460631372334
GP-CP-Extended,MAE,0.3764306669146858,0.03170352692581794
GP-CP-Extended,RMSE,0.4624792861627559,0.03438519800563013
