model,effect_type,Bias,CI_Width,Coverage,RMSE
FE+AR,alpha,-5.27355936696949e-18,0.4678734782695585,1.0,0.03246572412035498
FE+AR,beta,-8.46545056276682e-18,0.824475268800685,1.0,0.06434038415653219
FE+AR,gamma,7.031412489292657e-18,,0.0,0.8710308834535712
GP-CP,alpha,-4.7045700668491004e-17,0.34178386910835645,1.0,0.04511290519375398
GP-CP,beta,-3.4139358007223563e-17,0.5267464540825484,1.0,0.0868176990186347
GP-CP,gamma,7.031412489292657e-18,,0.0,0.8710308834535712
GP-CP-Extended,alpha,-8.1601392309949e-17,0.12233445638954166,0.96,0.028095412940398502
GP-CP-Extended,beta,-6.453171330633723e-17,0.20135884044132127,0.9400000000000001,0.051081440955768574
GP-CP-Extended,gamma,-4.810966440042345e-18,0.6820321866465329,0.9483333333333335,0.17484319342315593
