model,CI_Width,Coverage,MAE,MAPE,RMSE
FE+AR,3.2737655200549214,0.8933333333333333,0.8766595289531844,731.4921643508687,1.051208476770404
GP-CP,2.919914289814924,0.96,0.5789875536939233,246.62590034946507,0.6832739366466059
GP-CP-Extended,2.8232230841719708,0.9466666666666667,0.56504638847051,210.30615470633944,0.6747478147296755
