model,effect_type,Bias,CI_Width,Coverage,RMSE
FE+AR,alpha,-6.13398221105399e-17,0.14799046043247738,0.93,0.03720193841211677
FE+AR,beta,-3.127128186027524e-17,0.26078519153570645,0.9666666666666666,0.06243836815636007
GP-CP,alpha,-1.1185496973098453e-16,0.12169613589972963,0.9400000000000001,0.03245778688840525
GP-CP,beta,-3.9782991715734755e-18,0.20076742695781508,0.9666666666666666,0.04909628249074866
GP-CP-Extended,alpha,-3.691491556878646e-17,0.11283183384833788,0.93,0.03254196622209647
GP-CP-Extended,beta,-8.928043489693967e-18,0.1865774701882224,0.95,0.04918603016895255
