model,CI_Width,Coverage,MAE,MAPE,RMSE
FE+AR,3.3283865144411804,0.8800000000000001,0.8680507072192636,709.8551902460297,1.0502418649017933
GP-CP,2.9082827388124963,0.9733333333333334,0.5149954900599754,237.25181246411276,0.6283488434204128
GP-CP-Extended,2.88154616118564,0.9733333333333334,0.5083492022533285,232.75696910938967,0.6232065986329369
