model,cohort,period,y_true,y_hat,resid
FE+AR,0,45,-3.2941264058666997,1.5317068342360982,4.8258332401027975
FE+AR,0,46,-4.207495225769584,1.497391880731373,5.704887106500957
FE+AR,0,47,-4.233973512620446,1.4666399221031274,5.700613434723573
FE+AR,0,48,-5.739697437001174,1.4390810049872083,7.178778441988383
FE+AR,0,49,-5.22858324707436,1.4143835890670238,6.642966836141383
FE+AR,0,50,-4.956959568549239,1.392250558564811,6.34921012711405
FE+AR,0,51,-5.822365961648322,1.3724156478682825,7.194781609516605
FE+AR,0,52,-5.890699216951935,1.3546402382920872,7.2453394552440225
FE+AR,0,53,-4.948286678845922,1.3387104874383664,6.286997166284289
FE+AR,0,54,-5.637320425576917,1.3244347566219332,6.96175518219885
FE+AR,0,55,-5.761849078781266,1.311641305411385,7.073490384192651
FE+AR,0,56,-6.596856682603266,1.3001762255509364,7.897032908154203
FE+AR,0,57,-6.901732670872982,1.2899015894075565,8.191634260280539
FE+AR,0,58,-6.330844551466729,1.280693790668794,7.611538342135523
FE+AR,0,59,-6.5055635628052375,1.2724420573294892,7.778005620134727
FE+AR,1,45,-3.2242986628483408,1.3084066756324688,4.53270533848081
FE+AR,1,46,-3.608687436402337,1.2740917221277437,4.882779158530081
FE+AR,1,47,-4.1584876201777545,1.243339763499498,5.401827383677253
FE+AR,1,48,-4.68383174084371,1.2157808463835789,5.899612587227288
FE+AR,1,49,-4.113674025604002,1.1910834304633942,5.304757456067396
FE+AR,1,50,-5.615975873512233,1.1689503999611814,6.784926273473414
FE+AR,1,51,-5.180942095545155,1.149115489264653,6.330057584809808
FE+AR,1,52,-5.540412830148266,1.1313400796884576,6.671752909836723
FE+AR,1,53,-5.482307203954223,1.115410328834737,6.59771753278896
FE+AR,1,54,-5.121055317748701,1.1011345980183036,6.222189915767005
FE+AR,1,55,-5.575839785255032,1.0883411468077555,6.664180932062788
FE+AR,1,56,-5.4277663194314,1.0768760669473068,6.504642386378706
FE+AR,1,57,-5.58426460923154,1.0666014308039269,6.650866040035467
FE+AR,1,58,-6.066600493764979,1.0573936320651645,7.123994125830144
FE+AR,1,59,-6.0805739512221075,1.0491418987258596,7.129715849947967
FE+AR,2,45,-2.4550358668103125,0.9704705040669103,3.4255063708772227
FE+AR,2,46,-4.176900135674451,0.9361555505621851,5.1130556862366365
FE+AR,2,47,-3.902142988676558,0.9054035919339394,4.807546580610497
FE+AR,2,48,-4.131740896306525,0.8778446748180203,5.009585571124545
FE+AR,2,49,-4.511471527499345,0.8531472588978357,5.36461878639718
FE+AR,2,50,-4.491020772377278,0.8310142283956229,5.322035000772901
FE+AR,2,51,-4.586851610689021,0.8111793176990945,5.398030928388116
FE+AR,2,52,-5.23914735263808,0.7934039081228992,6.032551260760979
FE+AR,2,53,-5.1324866806754175,0.7774741572691783,5.909960837944595
FE+AR,2,54,-4.970204306096663,0.7631984264527452,5.733402732549409
FE+AR,2,55,-5.230587662900484,0.750404975242197,5.980992638142681
FE+AR,2,56,-5.226614375689287,0.7389398953817483,5.965554271071036
FE+AR,2,57,-5.639809581380905,0.7286652592383683,6.368474840619273
FE+AR,2,58,-4.844508279219625,0.719457460499606,5.56396573971923
FE+AR,2,59,-5.134756635190519,0.7112057271603012,5.845962362350821
FE+AR,3,45,-2.7167607343751463,0.9512437917194396,3.668004526094586
FE+AR,3,46,-2.1821303525450073,0.9169288382147145,3.099059190759722
FE+AR,3,47,-3.268057074016637,0.8861768795864686,4.154233953603105
FE+AR,3,48,-3.7648591047967535,0.8586179624705497,4.623477067267303
FE+AR,3,49,-4.466878976838874,0.833920546550365,5.300799523389239
FE+AR,3,50,-4.336541774275859,0.8117875160481522,5.148329290324011
FE+AR,3,51,-4.384545428322492,0.7919526053516237,5.176498033674116
FE+AR,3,52,-4.162435696750335,0.7741771957754284,4.936612892525764
FE+AR,3,53,-4.45907540241513,0.7582474449217077,5.217322847336837
FE+AR,3,54,-4.8972568207328555,0.7439717141052744,5.64122853483813
FE+AR,3,55,-4.7641293980944,0.7311782628947263,5.495307660989126
FE+AR,3,56,-4.35189817816395,0.7197131830342776,5.071611361198228
FE+AR,3,57,-4.279947794916372,0.7094385468908977,4.989386341807269
FE+AR,3,58,-4.637184493826426,0.7002307481521353,5.337415241978562
FE+AR,3,59,-5.1517507582123985,0.6919790148128304,5.843729773025229
FE+AR,4,45,-1.7364795018058,0.8804993473818827,2.6169788491876824
FE+AR,4,46,-2.5748820113006508,0.8461843938771576,3.4210664051778084
FE+AR,4,47,-3.177122354523914,0.8154324352489118,3.992554789772826
FE+AR,4,48,-3.548766959290294,0.7878735181329928,4.336640477423287
FE+AR,4,49,-3.4784089457009046,0.7631761022128081,4.241585047913713
FE+AR,4,50,-4.287699936763539,0.7410430717105954,5.028743008474134
FE+AR,4,51,-3.7061164248498035,0.7212081610140669,4.427324585863871
FE+AR,4,52,-4.105795123161558,0.7034327514378715,4.809227874599429
FE+AR,4,53,-3.769672328481416,0.6875030005841509,4.457175329065567
FE+AR,4,54,-3.8315559111445325,0.6732272697677175,4.50478318091225
FE+AR,4,55,-3.5921862167269034,0.6604338185571694,4.252620035284073
FE+AR,4,56,-3.600406400357887,0.6489687386967207,4.2493751390546075
FE+AR,4,57,-4.328993019956042,0.6386941025533408,4.967687122509383
FE+AR,4,58,-4.018634048383832,0.6294863038145784,4.64812035219841
FE+AR,4,59,-4.109399160373165,0.6212345704752736,4.730633730848439
FE+AR,5,45,-1.9085835874574641,0.7278122966676259,2.63639588412509
FE+AR,5,46,-2.1289358194521233,0.6934973431629008,2.822433162615024
FE+AR,5,47,-1.9809397406212779,0.6627453845346549,2.643685125155933
FE+AR,5,48,-3.0943692718709093,0.635186467418736,3.729555739289645
FE+AR,5,49,-3.235944644942148,0.6104890514985513,3.846433696440699
FE+AR,5,50,-2.828980389496593,0.5883560209963385,3.4173364104929314
FE+AR,5,51,-3.118312729582448,0.56852111029981,3.686833839882258
FE+AR,5,52,-3.2202003403974353,0.5507457007236147,3.77094604112105
FE+AR,5,53,-3.432710901100478,0.534815949869894,3.967526850970372
FE+AR,5,54,-3.2322101696190737,0.5205402190534607,3.7527503886725344
FE+AR,5,55,-3.219085784465043,0.5077467678429126,3.7268325523079557
FE+AR,5,56,-3.571763611658526,0.49628168798246386,4.06804529964099
FE+AR,5,57,-3.126075803555845,0.48600705183908394,3.612082855394929
FE+AR,5,58,-3.027439542748543,0.47679925310032156,3.504238795848865
FE+AR,5,59,-2.989317276744687,0.4685475197610168,3.457864796505704
FE+AR,6,45,-1.1435507003509464,0.5661636546358672,1.7097143549868137
FE+AR,6,46,-1.4833435901634342,0.531848701131142,2.0151922912945763
FE+AR,6,47,-2.399088754688425,0.5010967425028963,2.9001854971913215
FE+AR,6,48,-2.0835791932139096,0.4735378253869772,2.557117018600887
FE+AR,6,49,-2.781807106487932,0.44884040946679254,3.2306475159547245
FE+AR,6,50,-2.736620395693377,0.4267073789645798,3.1633277746579567
FE+AR,6,51,-2.0153160807562434,0.40687246826805135,2.4221885490242947
FE+AR,6,52,-2.466918132653418,0.389097058691856,2.856015191345274
FE+AR,6,53,-2.6796040545654187,0.3731673078381353,3.052771362403554
FE+AR,6,54,-2.67994202720173,0.358891577021702,3.0388336042234316
FE+AR,6,55,-2.7332984796678383,0.34609812581115384,3.0793966054789923
FE+AR,6,56,-2.5156900559001487,0.33463304595070514,2.850323101850854
FE+AR,6,57,-2.3408501795003134,0.3243584098073252,2.6652085893076385
FE+AR,6,58,-2.667153354585603,0.31515061106856285,2.982303965654166
FE+AR,6,59,-2.4620488745954936,0.30689887772925806,2.7689477523247517
FE+AR,7,45,-0.7103970053422227,0.4458691235714095,1.1562661289136322
FE+AR,7,46,-1.344884531820433,0.4115541700666844,1.7564387018871175
FE+AR,7,47,-1.8776390770709375,0.3808022114384386,2.258441288509376
FE+AR,7,48,-1.9187755414135184,0.35324329432251955,2.272018835736038
FE+AR,7,49,-2.6045913753115597,0.3285458784023349,2.9331372537138947
FE+AR,7,50,-2.8413221897610916,0.30641284790012213,3.1477350376612137
FE+AR,7,51,-2.370386222000123,0.2865779372035937,2.6569641592037168
FE+AR,7,52,-2.1233266554020047,0.26880252762739837,2.392129183029403
FE+AR,7,53,-1.3600278392513232,0.25287277677367764,1.6129006160250008
FE+AR,7,54,-2.0888620236387574,0.23859704595724435,2.3274590695960016
FE+AR,7,55,-2.1719454301099104,0.2258035947466962,2.3977490248566067
FE+AR,7,56,-2.4345965678124917,0.2143385148862475,2.6489350826987392
FE+AR,7,57,-1.5488607400473258,0.20406387874286758,1.7529246187901935
FE+AR,7,58,-1.9776095762762285,0.1948560800041052,2.1724656562803335
FE+AR,7,59,-1.4661156459581692,0.1866043466648004,1.6527199926229696
FE+AR,8,45,0.11216572459310886,0.36046474442640764,0.24829901983329877
FE+AR,8,46,-0.8623995131050392,0.3261497909216825,1.1885493040267217
FE+AR,8,47,-0.9634151267900745,0.29539783229343675,1.258812959083511
FE+AR,8,48,-1.073404178670468,0.2678389151775177,1.3412430938479858
FE+AR,8,49,-1.2909852813552833,0.24314149925733303,1.5341267806126164
FE+AR,8,50,-1.3679653915117653,0.22100846875512026,1.5889738602668855
FE+AR,8,51,-1.656566645127575,0.20117355805859183,1.8577402031861667
FE+AR,8,52,-1.7822178164899916,0.1833981484823965,1.965615964972388
FE+AR,8,53,-1.7825468060167182,0.16746839762867577,1.950015203645394
FE+AR,8,54,-1.6670817591683171,0.15319266681224247,1.8202744259805597
FE+AR,8,55,-1.3703175671574745,0.14039921560169433,1.510716782759169
FE+AR,8,56,-1.2998188927447798,0.12893413574124563,1.4287530284860255
FE+AR,8,57,-1.347854687215202,0.1186594995978657,1.4665141868130678
FE+AR,8,58,-0.6149742298539341,0.10945170085910333,0.7244259307130374
FE+AR,8,59,-0.5025569126190019,0.10119996751979854,0.6037568801388005
FE+AR,9,45,0.026799943430804718,0.5321144860002169,0.5053145425694122
FE+AR,9,46,0.09830946249110403,0.4977995324954918,0.39949007000438774
FE+AR,9,47,-0.6265318156888611,0.46704757386724605,1.093579389556107
FE+AR,9,48,-0.5562214018379747,0.439488656751327,0.9957100585893017
FE+AR,9,49,-0.6623391535550097,0.4147912408311423,1.077130394386152
FE+AR,9,50,-0.48321831547726035,0.39265821032892956,0.8758765258061899
FE+AR,9,51,-0.4419586747506518,0.37282329963240113,0.8147819743830529
FE+AR,9,52,-0.8618370750228402,0.3550478900562058,1.216884965079046
FE+AR,9,53,-0.6890378923914103,0.33911813920248507,1.0281560315938953
FE+AR,9,54,-0.7699614950051479,0.3248424083860518,1.0948039033911996
FE+AR,9,55,-1.0230430585637933,0.3120489571755036,1.335092015739297
FE+AR,9,56,-0.7327109213847862,0.3005838773150549,1.033294798699841
FE+AR,9,57,-0.20889203799429668,0.290309241171675,0.4992012791659717
FE+AR,9,58,-0.4774090177704564,0.28110144243291263,0.758510460203369
FE+AR,9,59,-0.043680381057154244,0.27284970909360784,0.31653009015076206
FE+AR,10,45,1.1456448185434591,0.7030771016367937,-0.4425677169066654
FE+AR,10,46,0.25155142432830185,0.6687621481320686,0.4172107238037667
FE+AR,10,47,0.47671078123533,0.6380101895038228,0.16129940826849282
FE+AR,10,48,0.14138216146453333,0.6104512723879038,0.46906911092337045
FE+AR,10,49,0.3318075573197814,0.585753856467719,0.25394629914793765
FE+AR,10,50,-0.046654598283485116,0.5636208259655063,0.6102754242489914
FE+AR,10,51,0.1693946043825056,0.5437859152689779,0.3743913108864723
FE+AR,10,52,-0.5445495558956274,0.5260105056927825,1.0705600615884099
FE+AR,10,53,0.6641688698969095,0.5100807548390618,-0.1540881150578477
FE+AR,10,54,0.6059221639343151,0.4958050240226285,-0.11011713991168659
FE+AR,10,55,0.39182440603033347,0.4830115728120804,0.09118716678174693
FE+AR,10,56,1.098396808776707,0.47154649295163165,-0.6268503158250754
FE+AR,10,57,0.7506509729477151,0.4612718568082518,-0.2893791161394633
FE+AR,10,58,0.9303282125882147,0.45206405806948935,-0.4782641545187254
FE+AR,10,59,1.7722203426226022,0.4438123247301846,-1.3284080178924176
FE+AR,11,45,1.6026025241434707,1.0346923880462338,-0.567910136097237
FE+AR,11,46,1.9310654347783518,1.0003774345415086,-0.9306880002368432
FE+AR,11,47,1.2838173890584454,0.9696254759132628,-0.3141919131451827
FE+AR,11,48,0.9950000164940249,0.9420665587973438,-0.05293345769668112
FE+AR,11,49,1.0339722836371084,0.9173691428771591,-0.11660314075994926
FE+AR,11,50,0.7777336022288603,0.8952361123749464,0.11750251014608604
FE+AR,11,51,0.6899218268872257,0.8754012016784178,0.18547937479119214
FE+AR,11,52,1.128925833866481,0.8576257921022226,-0.27130004176425837
FE+AR,11,53,0.6616641731850312,0.8416960412485018,0.1800318680634706
FE+AR,11,54,1.6700726329517077,0.8274203104320685,-0.8426523225196392
FE+AR,11,55,1.1260547318604832,0.8146268592215204,-0.31142787263896277
FE+AR,11,56,1.2892836982444504,0.8031617793610717,-0.48612191888337875
FE+AR,11,57,1.3239787707671729,0.7928871432176918,-0.531091627549481
FE+AR,11,58,1.8487519091816378,0.7836793444789294,-1.0650725647027084
FE+AR,11,59,2.142506134341555,0.7754276111396246,-1.3670785232019302
FE+AR,12,45,2.7148231535331764,1.210782653149121,-1.5040405003840553
FE+AR,12,46,2.4032768311071924,1.176467699644396,-1.2268091314627965
FE+AR,12,47,1.8211891036925414,1.1457157410161503,-0.6754733626763911
FE+AR,12,48,2.2120743829483533,1.118156823900231,-1.0939175590481223
FE+AR,12,49,1.3078164414927191,1.0934594079800466,-0.21435703351267255
FE+AR,12,50,1.4822643574427328,1.0713263774778339,-0.4109379799648989
FE+AR,12,51,2.147881053272525,1.0514914667813053,-1.0963895864912196
FE+AR,12,52,2.0642212999582044,1.03371605720511,-1.0305052427530943
FE+AR,12,53,2.104543938368333,1.0177863063513892,-1.0867576320169436
FE+AR,12,54,2.56743046991132,1.003510575534956,-1.563919894376364
FE+AR,12,55,2.309613288271314,0.9907171243244078,-1.3188961639469063
FE+AR,12,56,2.3864996691164855,0.9792520444639592,-1.4072476246525263
FE+AR,12,57,2.3593113182217396,0.9689774083205792,-1.3903339099011602
FE+AR,12,58,2.4164229985405545,0.9597696095818169,-1.4566533889587376
FE+AR,12,59,3.1400210149424628,0.951517876242512,-2.188503138699951
FE+AR,13,45,2.936454709359728,1.3184249929171834,-1.6180297164425448
FE+AR,13,46,3.0365052971660895,1.2841100394124583,-1.7523952577536313
FE+AR,13,47,2.556200530310324,1.2533580807842126,-1.3028424495261115
FE+AR,13,48,2.9096530513434233,1.2257991636682934,-1.68385388767513
FE+AR,13,49,2.287612515626795,1.2011017477481087,-1.086510767878686
FE+AR,13,50,2.3720955959723833,1.178968717245896,-1.1931268787264873
FE+AR,13,51,2.3789777183566665,1.1591338065493675,-1.219843911807299
FE+AR,13,52,2.5904032219738533,1.1413583969731722,-1.449044825000681
FE+AR,13,53,3.0121502020009983,1.1254286461194516,-1.8867215558815467
FE+AR,13,54,2.556252316602346,1.1111529153030182,-1.4450994012993277
FE+AR,13,55,3.683063914415246,1.09835946409247,-2.584704450322776
FE+AR,13,56,3.824322980796418,1.0868943842320213,-2.7374285965643965
FE+AR,13,57,3.68016714977297,1.0766197480886415,-2.6035474016843283
FE+AR,13,58,3.907532000156969,1.067411949349879,-2.84012005080709
FE+AR,13,59,4.292049555724604,1.0591602160105742,-3.2328893397140295
FE+AR,14,45,3.767180059995686,1.159427738119899,-2.607752321875787
FE+AR,14,46,3.539747945087091,1.1251127846151738,-2.414635160471917
FE+AR,14,47,3.0476825608211247,1.0943608259869282,-1.9533217348341965
FE+AR,14,48,2.8404555379339445,1.066801908871009,-1.7736536290629354
FE+AR,14,49,2.9399838337508575,1.0421044929508245,-1.897879340800033
FE+AR,14,50,2.6963934222278474,1.0199714624486118,-1.6764219597792356
FE+AR,14,51,3.445019462620426,1.0001365517520833,-2.4448829108683423
FE+AR,14,52,3.5118435892710687,0.982361142175888,-2.5294824470951807
FE+AR,14,53,3.325395322192027,0.9664313913221672,-2.35896393086986
FE+AR,14,54,4.067165874813494,0.952155660505734,-3.11501021430776
FE+AR,14,55,3.975346685856444,0.9393622092951858,-3.0359844765612585
FE+AR,14,56,4.160000371175188,0.9278971294347371,-3.2321032417404503
FE+AR,14,57,4.383818928686526,0.9176224932913571,-3.4661964353951684
FE+AR,14,58,4.625570032208846,0.9084146945525948,-3.7171553376562514
FE+AR,14,59,5.034732815860756,0.90016296121329,-4.134569854647466
FE+AR,15,45,3.2549744685156066,0.752976398935433,-2.5019980695801736
FE+AR,15,46,3.4990300844008084,0.7186614454307079,-2.7803686389701006
FE+AR,15,47,3.136533822633574,0.687909486802462,-2.448624335831112
FE+AR,15,48,3.259371188373039,0.660350569686543,-2.599020618686496
FE+AR,15,49,2.704193163417789,0.6356531537663583,-2.068540009651431
FE+AR,15,50,3.2908099104768915,0.6135201232641456,-2.6772897872127457
FE+AR,15,51,3.015566187314838,0.5936852125676171,-2.421880974747221
FE+AR,15,52,3.4893356669899607,0.5759098029914218,-2.9134258639985386
FE+AR,15,53,3.4429359258512253,0.5599800521377011,-2.882955873713524
FE+AR,15,54,4.472975652513455,0.5457043213212678,-3.9272713311921867
FE+AR,15,55,4.111457055201246,0.5329108701107197,-3.5785461850905262
FE+AR,15,56,4.673464485568921,0.5214457902502709,-4.152018695318651
FE+AR,15,57,4.797764012983266,0.5111711541068911,-4.286592858876375
FE+AR,15,58,5.362981679327434,0.5019633553681286,-4.861018323959305
FE+AR,15,59,5.022402423558663,0.49371162202882385,-4.528690801529839
FE+AR,16,45,4.052701877139696,0.1533520276875916,-3.899349849452104
FE+AR,16,46,3.540661812452592,0.11903707418286646,-3.4216247382697254
FE+AR,16,47,2.718098593727936,0.08828511555462071,-2.6298134781733156
FE+AR,16,48,2.748854129625643,0.06072619843870164,-2.688127931186941
FE+AR,16,49,3.200766553356176,0.03602878251851699,-3.164737770837659
FE+AR,16,50,2.7458031875522937,0.01389575201630422,-2.7319074355359896
FE+AR,16,51,3.246616798880365,-0.00593915868022421,-3.252555957560589
FE+AR,16,52,4.23497455187281,-0.023714568256419544,-4.25868912012923
FE+AR,16,53,3.935435478675694,-0.03964431911014027,-3.9750797977858343
FE+AR,16,54,4.741231520615387,-0.053920049926573566,-4.795151570541961
FE+AR,16,55,3.6563681276295337,-0.06671350113712171,-3.7230816287666553
FE+AR,16,56,4.781525401198161,-0.07817858099757041,-4.8597039821957315
FE+AR,16,57,4.872388071502962,-0.08845321714095034,-4.960841288643912
FE+AR,16,58,5.037746092676097,-0.09766101587971271,-5.13540710855581
FE+AR,16,59,5.326454063255727,-0.1059127492190175,-5.432366812474744
FE+AR,17,45,3.154065253511759,-0.5385172186022454,-3.692582472114004
FE+AR,17,46,3.0028002683862245,-0.5728321721069706,-3.575632440493195
FE+AR,17,47,3.562827366459666,-0.6035841307352163,-4.166411497194883
FE+AR,17,48,3.5042806603539116,-0.6311430478511354,-4.135423708205047
FE+AR,17,49,3.230102995857226,-0.65584046377132,-3.885943459628546
FE+AR,17,50,3.5785205427065243,-0.6779734942735328,-4.256494036980057
FE+AR,17,51,3.2796515104520814,-0.6978084049700612,-3.9774599154221426
FE+AR,17,52,3.6586797863824354,-0.7155838145462565,-4.374263600928692
FE+AR,17,53,4.12431494474347,-0.7315135653999774,-4.855828510143447
