model,metric,value
FE+AR,MAE,0.4912687192562464
FE+AR,MAPE,516.1836875823747
FE+AR,RMSE,0.5801464128555173
FE+AR,Coverage,0.6666666666666666
FE+AR,CI_Width,1.279496217130958
GP-CP,MAE,0.27216109300376246
GP-CP,MAPE,208.80920163104065
GP-CP,RMSE,0.3256195743126809
GP-CP,Coverage,1.0
GP-CP,CI_Width,1.135481686687274
GP-CP-Extended,MAE,0.27160325992917933
GP-CP-Extended,MAPE,293.54421863818874
GP-CP-Extended,RMSE,0.31782723155520126
GP-CP-Extended,Coverage,1.0
GP-CP-Extended,CI_Width,1.0469137148391432
