model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,2.2671722389316193,1.71096064674543,,
GP-CP,2.2770093991709186,1.723663433368576,,
GP-CP-Extended,0.28835295225470897,0.22842817369683396,0.025974719835769437,0.0201310122357618
