model,effect_type,metric,value
FE+AR,alpha,Bias,1.0547118733938987e-16
FE+AR,alpha,RMSE,0.031571273918426124
FE+AR,alpha,Coverage,1.0
FE+AR,alpha,CI_Width,0.1516598312363051
FE+AR,beta,Bias,2.4054832200211726e-17
FE+AR,beta,RMSE,0.05528034247279478
FE+AR,beta,Coverage,0.9833333333333333
FE+AR,beta,CI_Width,0.2672512675590886
GP-CP,alpha,Bias,4.718447854656915e-17
GP-CP,alpha,RMSE,0.026673407100346016
GP-CP,alpha,Coverage,1.0
GP-CP,alpha,CI_Width,0.12737513157091931
GP-CP,beta,Bias,5.597374415818497e-17
GP-CP,beta,RMSE,0.04617843897739665
GP-CP,beta,Coverage,0.9833333333333333
GP-CP,beta,CI_Width,0.20260105860508834
GP-CP-Extended,alpha,Bias,1.1518563880486e-16
GP-CP-Extended,alpha,RMSE,0.02715797978879721
GP-CP-Extended,alpha,Coverage,1.0
GP-CP-Extended,alpha,CI_Width,0.10364262145952292
GP-CP-Extended,beta,Bias,8.419191270074103e-17
GP-CP-Extended,beta,RMSE,0.04526080701545507
GP-CP-Extended,beta,Coverage,0.9666666666666667
GP-CP-Extended,beta,CI_Width,0.16638630895117565
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
