model,metric,value
FE+AR,Bias,-1.1296889053221593
FE+AR,MAE,1.1611468909000713
FE+AR,RMSE,1.3655317373473639
GP-CP,Bias,0.010257756941619017
GP-CP,MAE,0.5909500219993763
GP-CP,RMSE,0.7320367316937723
GP-CP-Extended,Bias,0.010232299268000225
GP-CP-Extended,MAE,0.5909114068422938
GP-CP-Extended,RMSE,0.7320369347191827
