         model metric     value
         FE+AR   Bias -1.129689
         FE+AR    MAE  1.161147
         FE+AR   RMSE  1.365532
         GP-CP   Bias  0.010258
         GP-CP    MAE  0.590950
         GP-CP   RMSE  0.732037
GP-CP-Extended   Bias  0.010232
GP-CP-Extended    MAE  0.590911
GP-CP-Extended   RMSE  0.732037
