model,effect_type,metric,value,task
FE+AR,alpha,Bias,-1.637578961322106e-16,fit
FE+AR,alpha,RMSE,0.036247252363546,fit
FE+AR,alpha,Coverage,0.95,fit
FE+AR,alpha,CI_Width,0.1452286923981757,fit
FE+AR,beta,Bias,-1.0732155904709848e-16,fit
FE+AR,beta,RMSE,0.0689667049313087,fit
FE+AR,beta,Coverage,0.9666666666666668,fit
FE+AR,beta,CI_Width,0.2559184710477927,fit
GP-CP,alpha,Bias,-2.4702462297909734e-16,fit
GP-CP,alpha,RMSE,0.0364152748660738,fit
GP-CP,alpha,Coverage,0.9,fit
GP-CP,alpha,CI_Width,0.1130068726945792,fit
GP-CP,beta,Bias,-1.4155343563970742e-16,fit
GP-CP,beta,RMSE,0.0488247086035403,fit
GP-CP,beta,Coverage,0.9666666666666668,fit
GP-CP,beta,CI_Width,0.2018288703918192,fit
GP-CP-Extended,alpha,Bias,-2.0816681711721683e-16,fit
GP-CP-Extended,alpha,RMSE,0.0365406223831442,fit
GP-CP-Extended,alpha,Coverage,0.9,fit
GP-CP-Extended,alpha,CI_Width,0.1115989015533013,fit
GP-CP-Extended,beta,Bias,-3.3306690738754695e-17,fit
GP-CP-Extended,beta,RMSE,0.0490960060055923,fit
GP-CP-Extended,beta,Coverage,0.9666666666666668,fit
GP-CP-Extended,beta,CI_Width,0.1997708920338724,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.7770310284198741,extrapolation
FE+AR,beta,MAPE,1726.2986794634128,extrapolation
FE+AR,beta,RMSE,0.909558280811539,extrapolation
FE+AR,beta,Coverage,1.0,extrapolation
FE+AR,beta,CI_Width,3.176326199380968,extrapolation
GP-CP,beta,MAE,0.3465194280913003,extrapolation
GP-CP,beta,MAPE,423.76349394609446,extrapolation
GP-CP,beta,RMSE,0.4129266919441905,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,2.8167228618286595,extrapolation
GP-CP-Extended,beta,MAE,0.346000625394733,extrapolation
GP-CP-Extended,beta,MAPE,410.83399268157734,extrapolation
GP-CP-Extended,beta,RMSE,0.4130445625633362,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,2.794163736623313,extrapolation
