model,effect_type,metric,value
FE+AR,alpha,Bias,-1.637578961322106e-16
FE+AR,alpha,RMSE,0.03624725236354602
FE+AR,alpha,Coverage,0.95
FE+AR,alpha,CI_Width,0.14522869239817576
FE+AR,beta,Bias,-1.0732155904709847e-16
FE+AR,beta,RMSE,0.0689667049313087
FE+AR,beta,Coverage,0.9666666666666667
FE+AR,beta,CI_Width,0.25591847104779275
GP-CP,alpha,Bias,-2.4702462297909734e-16
GP-CP,alpha,RMSE,0.036415274866073884
GP-CP,alpha,Coverage,0.9
GP-CP,alpha,CI_Width,0.11300687269457929
GP-CP,beta,Bias,-1.4155343563970745e-16
GP-CP,beta,RMSE,0.04882470860354033
GP-CP,beta,Coverage,0.9666666666666667
GP-CP,beta,CI_Width,0.2018288703918192
GP-CP-Extended,alpha,Bias,-2.0816681711721685e-16
GP-CP-Extended,alpha,RMSE,0.03654062238314424
GP-CP-Extended,alpha,Coverage,0.9
GP-CP-Extended,alpha,CI_Width,0.1115989015533013
GP-CP-Extended,beta,Bias,-3.3306690738754695e-17
GP-CP-Extended,beta,RMSE,0.04909600600559239
GP-CP-Extended,beta,Coverage,0.9666666666666667
GP-CP-Extended,beta,CI_Width,0.19977089203387244
FE+AR,gamma,Bias,
FE+AR,gamma,RMSE,
FE+AR,gamma,Coverage,
GP-CP,gamma,Bias,
GP-CP,gamma,RMSE,
GP-CP,gamma,Coverage,
