         model metric     value
         FE+AR   Bias  0.754708
         FE+AR    MAE  0.796640
         FE+AR   RMSE  0.940393
         GP-CP   Bias -0.013887
         GP-CP    MAE  0.421573
         GP-CP   RMSE  0.517425
GP-CP-Extended   Bias -0.013889
GP-CP-Extended    MAE  0.421549
GP-CP-Extended   RMSE  0.517387
