model,RMSE_y,MAE_y,RMSE_gamma,MAE_gamma
FE+AR,0.9353542007485021,0.7485296635018629,,
GP-CP,0.9405727168390488,0.7507950017804651,,
GP-CP-Extended,0.23233531507674424,0.18566462150853572,0.17634118676957053,0.13802270244116785
