category,model,cohort_idx,time_idx,tau_ct,tau_ct_std,tau_ct_lo95,tau_ct_hi95,is_post,is_observed_ct,truth
scenB_seed4,FE+AR,0,0,0.16272194415036134,0.3548687888659512,-0.532820882026903,0.8582647703276257,False,True,0.0
scenB_seed4,FE+AR,1,0,0.11955023600525372,0.35486878886592577,-0.5759925901719608,0.8150930621824682,False,True,0.0
scenB_seed4,FE+AR,2,0,0.07779506111087153,0.35486878886592566,-0.6177477650663428,0.7733378872880858,False,True,0.0
scenB_seed4,FE+AR,3,0,0.0846029356771576,0.35486878886592554,-0.6109398905000565,0.7801457618543717,False,True,0.0
scenB_seed4,FE+AR,4,0,0.00575695285483091,0.35486878886592543,-0.689785873322383,0.7012997790320448,False,True,0.0
scenB_seed4,FE+AR,5,0,-0.08187920192142362,0.35486878886592527,-0.7774220280986371,0.6136636242557899,False,True,0.0
scenB_seed4,FE+AR,6,0,-0.17185841440409888,0.3548687888659252,-0.8674012405813123,0.5236844117731145,False,True,0.0
scenB_seed4,FE+AR,7,0,-0.09768920220510457,0.3548687888659251,-0.7932320283823178,0.5978536239721086,False,True,0.0
scenB_seed4,FE+AR,8,0,-0.03674257598874542,0.354868788865925,-0.7322854021659584,0.6588002501884676,False,True,0.0
scenB_seed4,FE+AR,9,0,0.05403211602945268,0.3548687888659248,-0.64151071014776,0.7495749422066653,False,True,0.0
scenB_seed4,FE+AR,10,0,0.00632565719348821,0.3548687888659247,-0.6892171689837242,0.7018684833707006,False,True,0.0
scenB_seed4,FE+AR,11,0,-0.08803413177488495,0.3548687888659246,-0.7835769579520971,0.6075086944023272,False,True,0.0
scenB_seed4,FE+AR,12,0,-0.2118341285444847,0.35486878886592454,-0.9073769547216968,0.4837086976327274,False,True,0.0
scenB_seed4,FE+AR,13,0,-0.20570633380925352,0.3548687888659244,-0.9012491599864653,0.48983649236795823,False,True,0.0
scenB_seed4,FE+AR,14,0,-0.2054691934558346,0.3548687888659243,-0.9010120196330462,0.49007363272137705,False,True,0.0
scenB_seed4,FE+AR,15,0,-0.22174018354062985,0.3548687888659242,-0.9172830097178413,0.47380264263658156,False,True,0.0
scenB_seed4,FE+AR,16,0,-0.1797718420592389,0.35486878886592405,-0.87531466823645,0.5157709841179722,False,True,0.0
scenB_seed4,FE+AR,17,0,0.009781405188749037,0.35486878886592393,-0.6857614209884618,0.7053242313659599,False,True,0.0
