         model metric     value
         FE+AR   Bias -1.069241
         FE+AR    MAE  1.275531
         FE+AR   RMSE  1.629168
         GP-CP   Bias  0.027859
         GP-CP    MAE  1.008191
         GP-CP   RMSE  1.214584
GP-CP-Extended   Bias  0.035817
GP-CP-Extended    MAE  0.966197
GP-CP-Extended   RMSE  1.180227
