model,effect_type,metric,value,task
FE+AR,alpha,Bias,2.7755575615628914e-17,fit
FE+AR,alpha,RMSE,0.0361118913037,fit
FE+AR,alpha,Coverage,0.95,fit
FE+AR,alpha,CI_Width,0.1484291381202005,fit
FE+AR,beta,Bias,-2.544261098099317e-17,fit
FE+AR,beta,RMSE,0.0542813409683169,fit
FE+AR,beta,Coverage,1.0,fit
FE+AR,beta,CI_Width,0.2615582186921934,fit
GP-CP,alpha,Bias,-6.10622663543836e-17,fit
GP-CP,alpha,RMSE,0.0313926871872926,fit
GP-CP,alpha,Coverage,0.95,fit
GP-CP,alpha,CI_Width,0.1266483119252802,fit
GP-CP,beta,Bias,7.170190367370803e-17,fit
GP-CP,beta,RMSE,0.0481551804697737,fit
GP-CP,beta,Coverage,0.95,fit
GP-CP,beta,CI_Width,0.1905361614241036,fit
GP-CP-Extended,alpha,Bias,3.053113317719181e-17,fit
GP-CP-Extended,alpha,RMSE,0.0313983409097973,fit
GP-CP-Extended,alpha,Coverage,0.95,fit
GP-CP-Extended,alpha,CI_Width,0.1252376114632213,fit
GP-CP-Extended,beta,Bias,-1.387778780781446e-18,fit
GP-CP-Extended,beta,RMSE,0.0479685968527957,fit
GP-CP-Extended,beta,Coverage,0.95,fit
GP-CP-Extended,beta,CI_Width,0.188743891328819,fit
FE+AR,gamma,Bias,,fit
FE+AR,gamma,RMSE,,fit
FE+AR,gamma,Coverage,,fit
GP-CP,gamma,Bias,,fit
GP-CP,gamma,RMSE,,fit
GP-CP,gamma,Coverage,,fit
FE+AR,beta,MAE,0.7543719537655516,extrapolation
FE+AR,beta,MAPE,126.50853112062217,extrapolation
FE+AR,beta,RMSE,1.0057218620373416,extrapolation
FE+AR,beta,Coverage,0.8,extrapolation
FE+AR,beta,CI_Width,3.255990338134079,extrapolation
GP-CP,beta,MAE,0.5696108798876699,extrapolation
GP-CP,beta,MAPE,136.26676801363163,extrapolation
GP-CP,beta,RMSE,0.7373274480234119,extrapolation
GP-CP,beta,Coverage,1.0,extrapolation
GP-CP,beta,CI_Width,3.2183033053917067,extrapolation
GP-CP-Extended,beta,MAE,0.5450707497380444,extrapolation
GP-CP-Extended,beta,MAPE,126.04012299343952,extrapolation
GP-CP-Extended,beta,RMSE,0.7176919886885543,extrapolation
GP-CP-Extended,beta,Coverage,1.0,extrapolation
GP-CP-Extended,beta,CI_Width,3.2096993829828944,extrapolation
